year,id,word_count,cooccur_topic1_house,cooccur_topic5_several,cooccur_topic4_drop,cooccur_topic2_thee,cooccur_topic4_public,smallpox_burial_cooccurrences,cooccur_topic4_price,cooccur_topic3_would,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic1_street,cooccur_topic5_made,cooccur_topic2_thou,cooccur_topic3_could,smallpox_epidemic_cooccurrences,cooccur_topic4_medicine,smallpox_death_cooccurrences,cooccur_topic5_great,cooccur_topic5_state,smallpox_died_cooccurrences,smallpox_plague_cooccurrences,cooccur_topic1_market,cooccur_topic3_said,cooccur_topic2_love,cooccur_topic4_many,cooccur_topic2_heart,cooccur_topic2_soul,cooccur_topic5_time,cooccur_topic1_john,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1823,6_1823-06-26_p1_sn88053079_00271740244_1823062601_0015,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016246026,0.028739816,0.96854335,0.00059415866,0.00049802026
1823,6_1823-10-14_p1_sn83016083_00332895114_1823101401_0171,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949438,0.020747123,0.028674439,0.00062078226,0.0005197002
1823,8_1823-09-25_p3_sn88053079_00271740244_1823092501_0028,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002152887,0.0011773608,0.45417172,0.0006919109,0.5418061
1823,3_1823-11-20_p1_sn88053079_00271740244_1823112001_0058,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019600464,0.29020154,0.67880124,0.006197687,0.0051990068
1823,6_1823-11-13_p2_sn88053079_00271740244_1823111301_0055,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021862816,0.012940725,0.009829685,0.9487245,0.0066422108
1823,24_1823-04-08_pNone_sn83016083_00332895114_1823040801_0065,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014200771,0.006288214,0.71860945,0.25766972,0.003231789
1823,7_1823-09-18_p3_sn88053079_00271740244_1823091801_0024,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029967974,0.0018943957,0.0014111979,0.0011333651,0.99256426
1823,11_1823-11-06_p3_sn88053079_00271740244_1823110601_0052,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050263302,0.0028456936,0.0020751895,0.0016605083,0.9883923
1823,17_1823-09-18_p4_sn88053079_00271740244_1823091801_0025,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67623574,0.29775152,0.010559786,0.008420295,0.0070326924
1823,14_1823-11-27_p2_sn88053079_00271740244_1823112701_0063,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002300449,0.001383369,0.0010135937,0.000809684,0.99449295
