year,id,word_count,cooccur_topic1_letter,cooccur_topic2_white,cooccur_topic4_land,cooccur_topic5_fame,smallpox_burial_cooccurrences,cooccur_topic3_would,cooccur_topic4_good,cooccur_topic3_brig,cooccur_topic1_received,cooccur_topic4_viii,cooccur_topic1_year,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic2_plain,cooccur_topic2_black,cooccur_topic4_town,cooccur_topic3_day,cooccur_topic5_notice,smallpox_epidemic_cooccurrences,cooccur_topic5_county,smallpox_death_cooccurrences,cooccur_topic3_state,cooccur_topic3_great,smallpox_died_cooccurrences,cooccur_topic2_cotton,smallpox_plague_cooccurrences,cooccur_topic4_portland,cooccur_topic5_make,cooccur_topic5_hereby,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1805,11_1805-04-22_p2_sn83045636_00332895060_1805042201_0612,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067589087,0.39615098,0.510357,0.0022980522,0.084435076
1805,10_1805-09-02_p1_sn83016082_00332895060_1805090201_0687,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052229926,0.029375901,0.022229899,0.8812306,0.014933684
1805,27_1805-04-29_p3_sn83045636_00332895060_1805042901_0617,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9327423,0.023236237,0.017800847,0.014279426,0.011941119
1805,25_1805-07-23_p2_sn83016082_00332895060_1805072301_0664,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47927582,0.010061319,0.0076791174,0.006206381,0.49677733
1805,33_1805-06-25_p4_sn83045636_00332895060_1805062501_0650,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28722256,0.0073194974,0.005580743,0.33383167,0.3660455
1805,25_1805-08-12_p2_sn83016082_00332895060_1805081201_0676,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7806817,0.02980535,0.1868883,0.0014274678,0.0011971452
1805,33_1805-07-09_p3_sn83045636_00332895060_1805070901_0657,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3760101,0.017923806,0.013632195,0.010974741,0.58145916
1805,4_1805-04-22_p3_sn83045636_00332895060_1805042201_0613,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6801488,0.008229983,0.0061461176,0.004913746,0.3005615
1805,14_1805-11-11_p2_sn83016082_00332895060_1805111101_0728,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9481252,0.018112857,0.013629445,0.010949064,0.009183464
1805,1_1805-06-11_p3_sn83045636_00332895060_1805061101_0641,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037269427,0.9914645,0.0019336498,0.0015631389,0.0013117611
1805,8_1805-08-19_p2_sn83016082_00332895060_1805081901_0680,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32772094,0.0020870953,0.650131,0.0012407613,0.018820232
1805,1_1805-07-23_p1_sn83016082_00332895060_1805072301_0663,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065793404,0.004569813,0.8549278,0.0025915685,0.13133147
1805,44_1805-08-26_p4_sn83016082_00332895060_1805082601_0686,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034424122,0.020956632,0.3393638,0.01295576,0.5922997
1805,2_1805-12-23_p4_sn83016082_00332895060_1805122301_0754,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7688646,0.21543556,0.0063361404,0.00509504,0.004268616
1805,56_1805-06-25_p3_sn83045636_00332895060_1805062501_0649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3328376,0.22998515,0.175693,0.14213863,0.11934564
1805,8_1805-07-29_p4_sn83016082_00332895060_1805072901_0670,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012147504,0.97323453,0.0058930214,0.0047452208,0.0039797453
1805,9_1805-12-02_p3_sn83016082_00332895060_1805120201_0741,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022536393,0.18225999,0.77977616,0.008405839,0.0070215594
1805,6_1805-05-27_p1_sn83045636_00332895060_1805052701_0631,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027006548,0.016724467,0.24164362,0.70608926,0.008536069
1805,35_1805-12-23_p3_sn83016082_00332895060_1805122301_0753,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18060051,0.26032442,0.009010482,0.544085,0.0059794756
1805,9_1805-12-23_p1_sn83016082_00332895060_1805122301_0751,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0783572,0.0042668963,0.0032353653,0.0026013083,0.91153926
1805,62_1805-08-05_p3_sn83016082_00332895060_1805080501_0673,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3328376,0.22998515,0.175693,0.14213863,0.11934564
1805,5_1805-08-12_p1_sn83016082_00332895060_1805081201_0675,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59784514,0.0054129995,0.39064264,0.003319485,0.0027798174
1805,16_1805-04-22_p1_sn83045636_00332895060_1805042201_0611,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7762556,0.07721778,0.05925796,0.047455307,0.039813362
1805,15_1805-06-03_p1_sn83045636_00332895060_1805060301_0635,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03732471,0.025920562,0.019541768,0.90395105,0.013261972
1805,17_1805-04-29_p2_sn83045636_00332895060_1805042901_0616,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02119172,0.95276403,0.010635786,0.008372197,0.0070363902
1805,13_1805-06-11_p3_sn83045636_00332895060_1805061101_0641,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017231027,0.76090246,0.0778226,0.0067981984,0.13724577
1805,26_1805-11-04_p1_sn83016082_00332895060_1805110401_0723,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014131788,0.009643096,0.0073435223,0.0059253317,0.96295625
1805,35_1805-05-20_p2_sn83045636_00332895060_1805052001_0628,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6658162,0.11500457,0.08840397,0.07107772,0.059697524
1805,1_1805-10-07_p2_sn83016082_00332895060_1805100701_0708,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5132072,0.004351622,0.45546702,0.024801208,0.0021730457
1805,1_1805-11-11_p2_sn83016082_00332895060_1805111101_0728,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010286932,0.0064516533,0.97598803,0.003956849,0.0033164865
1805,29_1805-08-26_p4_sn83016082_00332895060_1805082601_0686,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03817174,0.023186808,0.01764936,0.5446315,0.37636054
1805,33_1805-07-09_p1_sn83045636_00332895060_1805070901_0655,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03742974,0.025633458,0.019571016,0.015796985,0.9015688
1805,12_1805-07-09_p2_sn83045636_00332895060_1805070901_0656,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7463851,0.043206047,0.19474436,0.014857199,0.00080734456
1805,35_1805-10-14_p4_sn83016082_00332895060_1805101401_0714,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594023,0.020117473,0.014878156,0.36102572,0.009955655
1805,12_1805-05-20_p2_sn83045636_00332895060_1805052001_0628,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2553015,0.012574626,0.7196617,0.0067771743,0.0056849583
1805,8_1805-06-03_p1_sn83045636_00332895060_1805060301_0635,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49322692,0.0054428964,0.0041412385,0.003313205,0.49387577
1805,12_1805-08-26_p2_sn83016082_00332895060_1805082601_0684,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9771154,0.008204614,0.005943173,0.0047541787,0.0039826464
1805,1_1805-05-20_p3_sn83045636_00332895060_1805052001_0629,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011098931,0.93722016,0.0056855427,0.042144794,0.0038505725
1805,31_1805-10-14_p1_sn83016082_00332895060_1805101401_0711,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86583763,0.046102017,0.035647035,0.028529573,0.023883786
1805,8_1805-09-16_pNone_sn83016082_00332895060_1805091601_0696,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45153105,0.0018040778,0.54468095,0.0010790637,0.0009049181
1805,5_1805-04-15_p3_sn83045636_00332895060_1805041501_0609,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82006806,0.010967827,0.15705118,0.0064788973,0.0054340167
1805,35_1805-12-16_p1_sn83016082_00332895060_1805121601_0747,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026393102,0.017720671,0.0135299275,0.010940311,0.931416
1805,25_1805-11-25_p4_sn83016082_00332895060_1805112501_0738,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39017087,0.5976026,0.0049489243,0.003959246,0.0033183226
1805,17_1805-10-14_p2_sn83016082_00332895060_1805101401_0712,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93296164,0.02316305,0.017721094,0.014215227,0.011938957
1805,4_1805-12-09_p2_sn83016082_00332895060_1805120901_0744,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9438421,0.01926435,0.015036753,0.011903515,0.009953284
1805,3_1805-05-27_p1_sn83045636_00332895060_1805052701_0631,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15797341,0.053468026,0.7868569,0.0009259452,0.00077573146
1805,54_1805-07-09_p4_sn83045636_00332895060_1805070901_0658,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028081046,0.01563496,0.31805685,0.17836367,0.45986348
