year,id,word_count,cooccur_topic1_house,cooccur_topic3_upon,cooccur_topic2_last,cooccur_topic4_street,cooccur_topic2_john,cooccur_topic1_also,cooccur_topic5_state,cooccur_topic5_county,cooccur_topic3_time,cooccur_topic4_disease,cooccur_topic5_court,cooccur_topic3_would,cooccur_topic1_sale,cooccur_topic4_cure,cooccur_topic2_york,cooccur_topic4_medicine,cooccur_topic4_remedy,cooccur_topic1_good,cooccur_topic5_said,cooccur_topic3_great,cooccur_topic2_bank,cooccur_topic5_bill,cooccur_topic2_city,smallpox_death_cooccurrences,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1841,31_1841-12-11_pNone_sn83030212_00206530157_1841121101_0837,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97192883,0.00974037,0.007406599,0.005942826,0.0049813897
1841,8_1841-07-01_p4_sn84020071_00414182951_1841070101_0307,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017001943,0.0011326894,0.0008547421,0.99573743,0.00057493267
1841,19_1841-10-29_p2_sn84020557_00414187456_1841102901_0228,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016808378,0.9648179,0.0074346135,0.005946253,0.0049928664
1841,46_1841-08-16_p4_sn83030212_00206530157_1841081601_0436,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016172789,0.00905804,0.0068506575,0.96331203,0.004606563
1841,3_1841-09-17_p3_sn84020557_00414187456_1841091701_0185,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41071984,0.0039677355,0.0028989117,0.0023376297,0.5800758
1841,57_1841-11-25_p1_sn84020557_00414187456_1841112501_0275,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085304,0.00528969,0.0039557903,0.0031677226,0.97905636
1841,19_1841-11-20_pNone_sn83016348_00415624414_1841112001_0065,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98302215,0.0059715463,0.004446441,0.0035707513,0.0029889818
1841,36_1841-09-08_p2_sn84020557_00414187456_1841090801_0177,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019673713,0.012750647,0.95375603,0.0075233704,0.0062962654
1841,24_1841-02-03_p3_sn85042147_00202197978_1841020301_0023,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013023017,0.80722433,0.17036171,0.005116735,0.004274227
1841,4_1841-05-29_p2_sn82015413_00212471367_1841052901_0207,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609474,0.004035678,0.98541903,0.0024227095,0.002027838
1841,58_1841-05-11_p3_sn83030212_00206530157_1841051101_0107,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010181033,0.8883645,0.0044240155,0.09403536,0.0029950833
1841,79_1841-10-06_p1_sn84020557_00414187456_1841100601_0203,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80739254,0.010942111,0.008104211,0.0065183383,0.16704279
1841,36_1841-12-03_p3_sn83030212_00206530157_1841120301_0811,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9882634,0.0041412627,0.0030716644,0.0024600483,0.0020635568
1841,42_1841-10-06_p1_sn83030212_00206530157_1841100601_0609,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9516269,0.016868757,0.012795225,0.01017182,0.008537313
1841,32_1841-11-15_p3_sn84020557_00414187456_1841111501_0253,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99752384,0.0008805993,0.0006436852,0.0005181891,0.00043364544
1841,31_1841-12-11_pNone_sn83030212_00206530157_1841121101_0840,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97666806,0.008157338,0.00611919,0.0049300115,0.0041253553
1841,38_1841-05-12_p3_sn83030212_00206530157_1841051201_0111,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78648084,0.008176848,0.0061449884,0.19506405,0.004133238
1841,47_1841-05-17_p2_sn84020557_00414187456_1841051701_0009,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12944956,0.8603496,0.0041056154,0.003313555,0.0027816598
1841,5_1841-11-26_p4_sn84020557_00414187456_1841112601_0282,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022885264,0.0014926551,0.0011204447,0.99434185,0.0007565173
1841,48_1841-10-15_pNone_sn83030212_00206530157_1841101501_0643,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9740936,0.009030939,0.0067995954,0.0054803924,0.004595408
1841,19_1841-12-03_p3_sn83030212_00206530157_1841120301_0811,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010077611,0.97769254,0.004936177,0.00396651,0.0033271424
1841,12_1841-01-01_p4_sn92053237_00212472025_1841010101_0138,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48840526,0.006245308,0.49861315,0.0036669758,0.0030693507
1841,3_1841-12-06_p1_sn84020566_00414187444_1841120601_0012,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06300583,0.0037264742,0.002704532,0.0021747584,0.9283884
1841,11_1841-07-06_p4_sn84020557_00414187456_1841070601_0087,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007139168,0.0004744398,0.00035880783,0.99821085,0.00024195839
