year,id,word_count,cooccur_topic1_house,cooccur_topic5_several,cooccur_topic4_drop,cooccur_topic2_thee,cooccur_topic4_public,smallpox_burial_cooccurrences,cooccur_topic4_price,cooccur_topic3_would,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic1_street,cooccur_topic5_made,cooccur_topic2_thou,cooccur_topic3_could,smallpox_epidemic_cooccurrences,cooccur_topic4_medicine,smallpox_death_cooccurrences,cooccur_topic5_great,cooccur_topic5_state,smallpox_died_cooccurrences,smallpox_plague_cooccurrences,cooccur_topic1_market,cooccur_topic3_said,cooccur_topic2_love,cooccur_topic4_many,cooccur_topic2_heart,cooccur_topic2_soul,cooccur_topic5_time,cooccur_topic1_john,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1821,53_1821-09-25_pNone_sn83016083_00332895102_1821092501_0557,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06713145,0.03911384,0.029582974,0.58318436,0.28098735
1821,43_1821-03-12_pNone_sn83016083_00332895102_1821031201_0437,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9328224,0.023179816,0.017812576,0.014239426,0.011945766
1821,63_1821-04-03_p1_sn83016083_00332895102_1821040301_0457,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6652018,0.11585239,0.08786553,0.07126404,0.059816256
1821,9_1821-07-11_pNone_sn83021201_00517172108_1821071101_0030,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024610667,0.0015403671,0.0011590626,0.00093086524,0.99390864
1821,2_1821-04-17_pNone_sn83016083_00332895102_1821041701_0467,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43940684,0.0062772073,0.004828453,0.0038701945,0.54561734
1821,6_1821-02-13_pNone_sn85025061_00513684939_1821021301_0503,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9801363,0.006916879,0.0052242125,0.004208829,0.0035136696
1821,17_1821-04-17_pNone_sn83016083_00332895102_1821041701_0467,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5457558,0.005774016,0.44207373,0.003482806,0.0029136438
1821,13_1821-07-11_p3_sn83021201_00517172108_1821071101_0031,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9801529,0.0069282437,0.0052123605,0.004189901,0.0035166303
1821,6_1821-03-15_pNone_sn83016083_00332895102_1821031501_0442,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012281066,0.0007749313,0.8749901,0.0004705017,0.122536354
1821,14_1821-03-15_p3_sn83016083_00332895102_1821031501_0443,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96589476,0.012112327,0.008886291,0.0071301074,0.005976485
1821,48_1821-04-03_pNone_sn83016083_00332895102_1821040301_0459,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6712896,0.019638376,0.2871819,0.011927646,0.009962449
1821,16_1821-02-13_pNone_sn85025061_00513684939_1821021301_0501,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016059995,0.007661697,0.66208196,0.004605179,0.30959117
1821,12_1821-02-13_pNone_sn85025061_00513684939_1821021301_0502,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9256589,0.025614535,0.019646086,0.015807493,0.013273131
1821,39_1821-01-30_pNone_sn85025061_00513684939_1821013001_0495,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45663288,0.008880898,0.0065785344,0.0052864845,0.52262115
1821,8_1821-04-03_pNone_sn83016083_00332895102_1821040301_0459,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9796633,0.007012601,0.005370831,0.0043331296,0.0036202308
1821,22_1821-07-11_pNone_sn83021201_00517172108_1821071101_0032,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3328376,0.22998515,0.175693,0.14213863,0.11934564
1821,11_1821-02-13_pNone_sn85025061_00513684939_1821021301_0502,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9855286,0.005099316,0.0037944634,0.0030351446,0.0025424925
1821,28_1821-02-13_pNone_sn85025061_00513684939_1821021301_0503,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008975194,0.0055879555,0.0041239862,0.9785347,0.0027781515
1821,12_1821-03-12_pNone_sn83016083_00332895102_1821031201_0437,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14316073,0.009712801,0.41732106,0.005496373,0.42430905
1821,9_1821-04-03_p1_sn83016083_00332895102_1821040301_0457,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45266676,0.0052277297,0.4790742,0.06037488,0.0026564326
1821,5_1821-02-13_pNone_sn85025061_00513684939_1821021301_0502,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16328473,0.0016514556,0.586579,0.0009979353,0.24748684
1821,10_1821-02-13_pNone_sn85025061_00513684939_1821021301_0501,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00875291,0.005277505,0.9343251,0.048927527,0.0027168975
1821,15_1821-07-11_p3_sn83021201_00517172108_1821071101_0031,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8152604,0.0051935003,0.003943009,0.0031632888,0.17243981
1821,10_1821-07-11_p3_sn83021201_00517172108_1821071101_0031,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6556091,0.32237455,0.008924133,0.0071186074,0.005973642
1821,54_1821-04-03_pNone_sn83016083_00332895102_1821040301_0459,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011611181,0.0068748454,0.97380435,0.0041933204,0.0035162948
1821,10_1821-09-25_pNone_sn83016083_00332895102_1821092501_0557,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9836187,0.0056772465,0.0043087117,0.0034822733,0.0029132226
1821,33_1821-09-25_pNone_sn83016083_00332895102_1821092501_0557,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3429244,0.011194035,0.008442002,0.006784337,0.6306553
