year,id,word_count,cooccur_topic2_little,cooccur_topic1_house,cooccur_topic4_range,cooccur_topic4_land,cooccur_topic3_public,smallpox_burial_cooccurrences,cooccur_topic5_would,cooccur_topic1_good,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic3_dollar,cooccur_topic4_black,cooccur_topic2_court,smallpox_epidemic_cooccurrences,cooccur_topic5_upon,cooccur_topic2_county,smallpox_death_cooccurrences,cooccur_topic5_great,cooccur_topic5_state,smallpox_died_cooccurrences,cooccur_topic4_township,smallpox_plague_cooccurrences,cooccur_topic4_said,cooccur_topic5_people,cooccur_topic1_time,cooccur_topic3_shall,cooccur_topic3_hundred,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1830,4_1830-04-22_p2_sn84020071_00414182938_1830042201_0258,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011439868,0.00069325,0.000510346,0.0004101244,0.9972423
1830,29_1830-09-15_p4_sn87062070_0039334295A_1830091501_0105,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013498509,0.59623325,0.38123187,0.0049139555,0.004122467
1830,10_1830-05-13_p2_sn84020071_00414182938_1830051301_0270,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01920494,0.010721271,0.008091274,0.006476809,0.9555057
1830,2_1830-12-08_p1_sn87062070_0039334295A_1830120801_0150,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011014428,0.3074093,0.005085525,0.0040733195,0.67241746
1830,27_1830-09-29_p3_sn87062070_0039334295A_1830092901_0112,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017671617,0.0113505265,0.95904493,0.0064998153,0.0054331054
1830,8_1830-08-19_p1_sn84020071_00414182938_1830081901_0325,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51584864,0.0007964905,0.0005928658,0.00047581593,0.4822863
1830,13_1830-09-15_p3_sn87062070_0039334295A_1830091501_0104,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040026614,0.7174501,0.0019978455,0.2752068,0.0013426475
1830,3_1830-07-28_p2_sn87062070_0039334295A_1830072801_0075,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12004856,0.001095309,0.20150025,0.00064610614,0.6767097
1830,5_1830-10-28_p3_sn84020071_00414182938_1830102801_0367,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3748076,0.61577314,0.0038432153,0.0030305427,0.0025454445
1830,4_1830-09-23_p2_sn84020071_00414182938_1830092301_0346,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011182755,0.00069328386,0.000512209,0.00040893542,0.9972673
1830,13_1830-11-03_p3_sn87062070_0039334295A_1830110301_0132,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042973198,0.90755665,0.020326523,0.01586049,0.013283094
1830,4_1830-02-18_p3_sn84020071_00414182938_1830021801_0223,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64092195,0.35352248,0.0022389882,0.0018032828,0.0015131837
1830,4_1830-05-12_p2_sn87062070_0039334295A_1830051201_0031,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015035942,0.0009038647,0.00067257247,0.0005387199,0.9963812
1830,11_1830-09-15_p4_sn87062070_0039334295A_1830091501_0105,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011542536,0.9738519,0.005882191,0.004744006,0.0039793486
1830,7_1830-08-04_p2_sn87062070_0039334295A_1830080401_0079,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18839312,0.00094218616,0.00068375544,0.06513267,0.7448482
1830,7_1830-06-17_p4_sn84020071_00414182938_1830061701_0292,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015279606,0.96904474,0.0063127736,0.0050947326,0.0042680176
1830,24_1830-06-09_p4_sn87062070_0039334295A_1830060901_0049,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060539257,0.7540365,0.025740262,0.020496225,0.13918777
1830,37_1830-05-12_p4_sn87062070_0039334295A_1830051201_0033,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41036752,0.24822068,0.0057575414,0.0046012243,0.33105302
1830,16_1830-04-22_p4_sn84020071_00414182938_1830042201_0260,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48907351,0.038808323,0.00080101157,0.0006435822,0.4706735
