year,id,word_count,cooccur_topic1_house,cooccur_topic2_white,cooccur_topic5_land,cooccur_topic2_silk,cooccur_topic3_bank,cooccur_topic3_public,cooccur_topic5_faid,smallpox_burial_cooccurrences,cooccur_topic4_would,smallpox_sick_cooccurrences,cooccur_topic4_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic2_black,cooccur_topic5_court,cooccur_topic1_town,smallpox_epidemic_cooccurrences,cooccur_topic4_part,cooccur_topic3_upon,cooccur_topic5_county,smallpox_death_cooccurrences,cooccur_topic4_state,smallpox_died_cooccurrences,cooccur_topic2_cotton,smallpox_plague_cooccurrences,cooccur_topic5_said,cooccur_topic3_make,cooccur_topic2_large,cooccur_topic1_shall,cooccur_topic4_country,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1818,46_1818-07-14_p3_sn83016083_00332895096_1818071401_0704,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52118945,0.43878588,0.016201248,0.012971135,0.010852313
1818,1_1818-01-20_p2_sn83016082_00332895096_1818012001_0603,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46198547,0.0066602146,0.52387214,0.004070131,0.003411965
1818,23_1818-08-11_p1_sn83016083_00332895096_1818081101_0718,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7848667,0.07737091,0.13252151,0.0028512357,0.00238967
1818,7_1818-12-22_p4_sn83016083_00332895096_1818122201_0799,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011734634,0.00794727,0.9712959,0.004903823,0.00411839
1818,6_1818-01-13_p2_sn83016082_00332895096_1818011301_0599,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014231377,0.008469369,0.0063757347,0.6573283,0.31359515
1818,29_1818-07-14_p3_sn83016083_00332895096_1818071401_0704,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8665302,0.045999147,0.035153832,0.028446538,0.023870228
1818,11_1818-07-28_p3_sn83016083_00332895096_1818072801_0712,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028027447,0.0018005945,0.0013630245,0.0010961213,0.9929375
1818,2_1818-08-04_p4_sn83016083_00332895096_1818080401_0717,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40286395,0.007982143,0.29844275,0.28672844,0.0039827465
1818,1_1818-01-13_p2_sn83016082_00332895096_1818011301_0599,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26845825,0.0043383734,0.72234285,0.002646497,0.0022140238
1818,2_1818-06-30_p2_sn83016083_00332895096_1818063001_0695,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15424518,0.0034280515,0.0026275448,0.5889725,0.25072664
1818,4_1818-08-04_p4_sn83016083_00332895096_1818080401_0717,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12242549,0.008595088,0.0065809954,0.0052750534,0.8571234
1818,17_1818-01-27_p3_sn83016082_00332895096_1818012701_0608,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022128738,0.01496876,0.9465129,0.008924,0.0074656326
1818,22_1818-06-30_p4_sn83016083_00332895096_1818063001_0697,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022897994,0.6530816,0.31090745,0.007135296,0.0059775948
1818,23_1818-01-13_p4_sn83016082_00332895096_1818011301_0601,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051317457,0.033084247,0.2382688,0.020364095,0.65696543
1818,20_1818-12-29_p4_sn83016083_00332895096_1818122901_0803,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015498676,0.010510321,0.962098,0.006464571,0.005428432
1818,12_1818-07-21_p3_sn83016083_00332895096_1818072101_0708,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03692581,0.8910401,0.002906945,0.06720013,0.0019270094
1818,10_1818-08-04_p3_sn83016083_00332895096_1818080401_0716,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068264096,0.0042834156,0.75934,0.0024636218,0.22708662
1818,12_1818-07-28_p1_sn83016083_00332895096_1818072801_0710,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2966924,0.023655951,0.01772975,0.014239866,0.647682
1818,2_1818-12-29_p2_sn83016083_00332895096_1818122901_0801,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049179783,0.0029962517,0.0022251476,0.2512717,0.7385889
1818,7_1818-06-30_p3_sn83016083_00332895096_1818063001_0696,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096154824,0.005671967,0.0043243235,0.0034810167,0.89036787
1818,7_1818-01-06_p3_sn83016082_00332895096_1818010601_0596,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30383232,0.004561279,0.6864636,0.0028002535,0.002342494
1818,8_1818-06-30_p2_sn83016083_00332895096_1818063001_0695,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48883685,0.01676017,0.47568583,0.010182411,0.008534702
1818,22_1818-12-22_p1_sn83016083_00332895096_1818122201_0796,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3991357,0.0013197812,0.12445114,0.2985739,0.17651945
1818,32_1818-01-27_p1_sn83016082_00332895096_1818012701_0606,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04343157,0.90173787,0.022113817,0.017793799,0.014922951
1818,13_1818-08-11_p1_sn83016083_00332895096_1818081101_0718,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03424231,0.5063735,0.011108967,0.008952085,0.43932313
1818,16_1818-01-27_p4_sn83016082_00332895096_1818012701_0609,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018683055,0.01149108,0.7778936,0.18624176,0.005690564
1818,1_1818-12-29_p1_sn83016083_00332895096_1818122901_0800,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046225493,0.0031103613,0.0023184293,0.001871604,0.98807704
1818,9_1818-12-29_p1_sn83016083_00332895096_1818122901_0800,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031120382,0.94559723,0.009470796,0.0075276857,0.006283979
