year,id,word_count,cooccur_topic2_little,cooccur_topic1_house,cooccur_topic4_range,cooccur_topic4_land,cooccur_topic3_public,smallpox_burial_cooccurrences,cooccur_topic5_would,cooccur_topic1_good,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic3_dollar,cooccur_topic4_black,cooccur_topic2_court,smallpox_epidemic_cooccurrences,cooccur_topic5_upon,cooccur_topic2_county,smallpox_death_cooccurrences,cooccur_topic5_great,cooccur_topic5_state,smallpox_died_cooccurrences,cooccur_topic4_township,smallpox_plague_cooccurrences,cooccur_topic4_said,cooccur_topic5_people,cooccur_topic1_time,cooccur_topic3_shall,cooccur_topic3_hundred,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1833,7_1833-08-08_p4_sn84020071_00414182938_1833080801_0944,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0073806285,0.9834841,0.0036803556,0.0029674652,0.002487481
1833,3_1833-08-21_p2_sn87062070_0039334295A_1833082101_0647,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029538274,0.074601606,0.88975835,0.0033198923,0.0027818577
1833,12_1833-06-27_p2_sn84020071_00414182938_1833062701_0918,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019146219,0.012388613,0.00935499,0.007502942,0.9516073
1833,8_1833-07-10_p3_sn87062070_0039334295A_1833071001_0628,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016382524,0.00093571347,0.5454818,0.0005598438,0.45138437
1833,7_1833-08-07_p1_sn87062070_0039334295A_1833080701_0638,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5878632,0.123711765,0.1853719,0.0011999107,0.10185317
1833,2_1833-06-06_p3_sn84020071_00414182938_1833060601_0907,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121013686,0.060323346,0.020575512,0.0005899827,0.79749745
1833,8_1833-04-18_p4_sn84020071_00414182938_1833041801_0880,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44213423,0.52638686,0.012764459,0.010175561,0.008538974
1833,9_1833-01-30_p3_sn87062070_0039334295A_1833013001_0580,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055933494,0.06028399,0.17953247,0.0004715315,0.7037785
1833,1_1833-08-22_p1_sn84020071_00414182938_1833082201_0949,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8333172,0.15821321,0.0034272291,0.0027430998,0.002299225
1833,6_1833-10-17_p4_sn84020071_00414182938_1833101701_0984,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9946679,0.0018773018,0.0013911354,0.0011230607,0.0009406391
1833,6_1833-03-27_p2_sn87062070_0039334295A_1833032701_0611,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009465958,0.08115775,0.34804413,0.0032484422,0.55808365
1833,49_1833-08-08_p4_sn84020071_00414182938_1833080801_0944,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09713304,0.7931935,0.044100754,0.035727423,0.029845215
1833,10_1833-03-13_p3_sn87062070_0039334295A_1833031301_0604,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024941699,0.0014511765,0.3085427,0.0008703155,0.68664163
1833,15_1833-11-13_p3_sn87062070_0039334295A_1833111301_0680,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17737898,0.008390282,0.0063495296,0.005092613,0.8027886
