year,id,word_count,cooccur_topic1_house,cooccur_topic2_white,cooccur_topic5_land,cooccur_topic2_silk,cooccur_topic3_bank,cooccur_topic3_public,cooccur_topic5_faid,smallpox_burial_cooccurrences,cooccur_topic4_would,smallpox_sick_cooccurrences,cooccur_topic4_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic2_black,cooccur_topic5_court,cooccur_topic1_town,smallpox_epidemic_cooccurrences,cooccur_topic4_part,cooccur_topic3_upon,cooccur_topic5_county,smallpox_death_cooccurrences,cooccur_topic4_state,smallpox_died_cooccurrences,cooccur_topic2_cotton,smallpox_plague_cooccurrences,cooccur_topic5_said,cooccur_topic3_make,cooccur_topic2_large,cooccur_topic1_shall,cooccur_topic4_country,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1816,36_1816-07-16_p2_sn83016082_00332895096_1816071601_0296,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09153625,0.0581106,0.044788677,0.7756088,0.029955653
1816,10_1816-07-16_p3_sn83016082_00332895096_1816071601_0297,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04119517,0.016968127,0.8925894,0.010188044,0.039059285
1816,11_1816-01-30_p1_sn83016082_00332895096_1816013001_0197,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1620419,0.00076600316,0.4621928,0.37461382,0.00038545352
1816,46_1816-01-30_pNone_sn83016082_00332895096_1816013001_0200,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98263717,0.006113789,0.004533177,0.0036523996,0.0030634643
1816,9_1816-01-30_pNone_sn83016082_00332895096_1816013001_0200,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7093298,0.0125060575,0.009396296,0.16171844,0.10704949
1816,10_1816-01-16_pNone_sn83016082_00332895096_1816011601_0190,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021798548,0.0013873987,0.001054521,0.9946716,0.00070667005
1816,11_1816-11-19_p2_sn83016082_00332895096_1816111901_0371,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15426251,0.002054494,0.38280365,0.38434005,0.07653932
1816,13_1816-12-28_p2_sn83016082_00332895096_1816122801_0395,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6367792,0.03852082,0.28104943,0.02373146,0.01991906
1816,1_1816-02-06_p3_sn83016082_00332895096_1816020601_0203,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5461777,0.0046685156,0.0035504443,0.34708843,0.098515
1816,3_1816-01-30_p2_sn83016082_00332895096_1816013001_0198,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07810684,0.0018122484,0.76852876,0.067143664,0.0844085
1816,4_1816-07-16_p3_sn83016082_00332895096_1816071601_0297,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036701944,0.9915743,0.0019120647,0.0015460236,0.0012974205
1816,11_1816-12-28_p2_sn83016082_00332895096_1816122801_0395,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023409441,0.07263603,0.001594854,0.1522042,0.7501555
1816,46_1816-07-02_pNone_sn83016082_00332895096_1816070201_0290,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004893591,0.0032274323,0.98824376,0.0019755494,0.001659566
1816,26_1816-12-28_p3_sn83016082_00332895096_1816122801_0396,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025160385,0.24917133,0.70927346,0.00893081,0.0074640736
1816,45_1816-07-16_p3_sn83016082_00332895096_1816071601_0297,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9603155,0.013822562,0.010438602,0.008394737,0.0070284763
1816,34_1816-01-30_pNone_sn83016082_00332895096_1816013001_0200,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051413206,0.9883211,0.0026302533,0.0021254786,0.0017817552
1816,22_1816-02-06_p3_sn83016082_00332895096_1816020601_0203,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9485442,0.017742613,0.01358095,0.010940457,0.009191873
1816,15_1816-01-30_pNone_sn83016082_00332895096_1816013001_0200,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57153636,0.006130123,0.004472077,0.003567289,0.41429412
1816,12_1816-01-16_p3_sn83016082_00332895096_1816011601_0191,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9627909,0.0128655415,0.009802415,0.007904109,0.006637068
1816,14_1816-01-30_pNone_sn83016082_00332895096_1816013001_0200,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8401785,0.02153638,0.016107503,0.111316994,0.01086062
1816,3_1816-12-28_p3_sn83016082_00332895096_1816122801_0396,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007837551,0.0044491873,0.08468363,0.9007329,0.0022967064
1816,2_1816-12-28_p4_sn83016082_00332895096_1816122801_0397,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011663204,0.007687296,0.97192574,0.0047424054,0.0039814026
1816,7_1816-01-16_pNone_sn83016082_00332895096_1816011601_0190,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007556456,0.0045303297,0.0034338143,0.002747039,0.9817323
1816,10_1816-01-30_pNone_sn83016082_00332895096_1816013001_0200,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020580411,0.013590861,0.95043474,0.0083683655,0.007025608
1816,6_1816-07-16_p1_sn83016082_00332895096_1816071601_0295,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1076491,0.13859704,0.38054174,0.3712203,0.001991813
1816,20_1816-06-18_pNone_sn83016082_00332895096_1816061801_0282,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03228361,0.9278768,0.016037924,0.012940532,0.010861167
1816,46_1816-02-06_p3_sn83016082_00332895096_1816020601_0203,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031642344,0.020998286,0.923513,0.012990543,0.010855892
1816,20_1816-01-23_p3_sn83016082_00332895096_1816012301_0195,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039775755,0.0011353046,0.35206434,0.6064416,0.0005830427
1816,29_1816-07-02_pNone_sn83016082_00332895096_1816070201_0290,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3088592,0.30267107,0.36831734,0.010967898,0.00918447
1816,6_1816-11-12_pNone_sn83016082_00332895096_1816111201_0368,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0074904053,0.004737374,0.696414,0.28891945,0.002438817
1816,18_1816-01-23_p4_sn83016082_00332895096_1816012301_0196,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91451424,0.00486799,0.0036177754,0.0029089532,0.07409102
1816,34_1816-07-16_p1_sn83016082_00332895096_1816071601_0295,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066534,0.039153498,0.02952595,0.8448888,0.019897766
1816,5_1816-01-30_p2_sn83016082_00332895096_1816013001_0198,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78634435,0.001669441,0.21017703,0.0009851528,0.0008240431
1816,20_1816-01-16_p3_sn83016082_00332895096_1816011601_0191,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9438579,0.019466016,0.014807154,0.011911223,0.009957789
1816,17_1816-12-28_p4_sn83016082_00332895096_1816122801_0397,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023341175,0.01568299,0.011816733,0.94119614,0.007962989
1816,1_1816-01-16_p3_sn83016082_00332895096_1816011601_0191,84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.22747517,0.005932437,0.004433308,0.7591682,0.0029909466
1816,16_1816-07-02_pNone_sn83016082_00332895096_1816070201_0288,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46733844,0.014619694,0.010423493,0.50058734,0.007030988
1816,7_1816-12-28_p3_sn83016082_00332895096_1816122801_0396,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002989182,0.0019319281,0.0014647808,0.0011777673,0.99243635
1816,14_1816-11-12_pNone_sn83016082_00332895096_1816111201_0368,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32394212,0.012259782,0.009418647,0.007492501,0.64688694
1816,5_1816-07-02_pNone_sn83016082_00332895096_1816070201_0290,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014142472,0.00963312,0.9653139,0.005928188,0.0049822507
