year,id,word_count,cooccur_topic1_house,cooccur_topic2_white,cooccur_topic5_land,cooccur_topic2_silk,cooccur_topic3_bank,cooccur_topic3_public,cooccur_topic5_faid,smallpox_burial_cooccurrences,cooccur_topic4_would,smallpox_sick_cooccurrences,cooccur_topic4_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic2_black,cooccur_topic5_court,cooccur_topic1_town,smallpox_epidemic_cooccurrences,cooccur_topic4_part,cooccur_topic3_upon,cooccur_topic5_county,smallpox_death_cooccurrences,cooccur_topic4_state,smallpox_died_cooccurrences,cooccur_topic2_cotton,smallpox_plague_cooccurrences,cooccur_topic5_said,cooccur_topic3_make,cooccur_topic2_large,cooccur_topic1_shall,cooccur_topic4_country,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1815,7_1815-04-24_pNone_sn83016082_00332895096_1815042401_0057,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014580693,0.25973892,0.7159664,0.0052865185,0.004427403
1815,10_1815-04-24_pNone_sn83016082_00332895096_1815042401_0057,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4345058,0.002801774,0.0021163067,0.3695601,0.19101605
1815,21_1815-04-24_p4_sn83016082_00332895096_1815042401_0058,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065299176,0.033125732,0.02544632,0.8590233,0.01710548
1815,2_1815-05-08_p4_sn83016082_00332895096_1815050801_0066,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011711019,0.0062777707,0.0048287883,0.18714917,0.79003334
1815,6_1815-05-08_pNone_sn83016082_00332895096_1815050801_0064,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20051613,0.0045265066,0.003360212,0.7893426,0.0022545534
1815,26_1815-05-08_p1_sn83016082_00332895096_1815050801_0063,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9429097,0.020515291,0.014713328,0.011912423,0.00994914
1815,2_1815-04-24_pNone_sn83016082_00332895096_1815042401_0057,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062650875,0.00327574,0.7509205,0.23790172,0.0016369667
1815,26_1815-05-08_p3_sn83016082_00332895096_1815050801_0065,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88649124,0.04036467,0.029457124,0.023772128,0.019914808
1815,1_1815-04-24_pNone_sn83016082_00332895096_1815042401_0057,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27912867,0.09576389,0.12407337,0.49961096,0.0014230434
1815,22_1815-04-24_p4_sn83016082_00332895096_1815042401_0058,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3623458,0.17782989,0.01610488,0.012943247,0.43077615
1815,7_1815-05-08_p1_sn83016082_00332895096_1815050801_0063,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154699255,0.010550862,0.9620852,0.0064636413,0.0054303226
1815,43_1815-05-08_p4_sn83016082_00332895096_1815050801_0066,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8861511,0.040649474,0.029582443,0.023712395,0.019904602
1815,3_1815-05-08_p1_sn83016082_00332895096_1815050801_0063,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1058447,0.22430795,0.03574221,0.0032412757,0.6308639
1815,13_1815-05-08_p4_sn83016082_00332895096_1815050801_0066,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027013212,0.59064895,0.0099844225,0.365718,0.0066353297
1815,12_1815-05-08_p1_sn83016082_00332895096_1815050801_0063,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025787156,0.11980832,0.0011806375,0.87564033,0.00079192076
1815,28_1815-05-08_p1_sn83016082_00332895096_1815050801_0063,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11107913,0.07713938,0.7245815,0.047384743,0.03981528
