year,id,word_count,cooccur_topic4_house,cooccur_topic3_prize,cooccur_topic1_hundred,smallpox_burial_cooccurrences,cooccur_topic5_would,cooccur_topic5_like,smallpox_sick_cooccurrences,cooccur_topic1_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic1_dollar,cooccur_topic4_street,cooccur_topic3_number,smallpox_epidemic_cooccurrences,cooccur_topic5_upon,cooccur_topic3_ticket,cooccur_topic4_wilmington,smallpox_death_cooccurrences,cooccur_topic3_state,smallpox_died_cooccurrences,cooccur_topic5_every,smallpox_plague_cooccurrences,cooccur_topic4_market,cooccur_topic2_said,cooccur_topic5_time,cooccur_topic1_shall,cooccur_topic4_john,cooccur_topic2_country,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1829,50_1829-01-15_p1_sn82014309_00414182926_1829011501_0525,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031485796,0.02020337,0.014764766,0.011888247,0.9216578
1829,26_1829-01-22_p3_sn82014309_00414182926_1829012201_0531,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13251355,0.0057998444,0.004308453,0.85446143,0.0029167747
1829,32_1829-04-23_p3_sn84020071_00414182938_1829042301_0053,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08326714,0.8612384,0.042369872,0.007145576,0.0059788935
1829,16_1829-05-28_p3_sn84020071_00414182938_1829052801_0073,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029556269,0.017112488,0.62773913,0.31705815,0.008533984
1829,27_1829-06-04_p3_sn84020071_00414182938_1829060401_0077,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012448365,0.588792,0.005884677,0.0047658603,0.38810912
1829,50_1829-03-05_p3_sn84020071_00414182938_1829030501_0025,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006842281,0.80674255,0.18163216,0.0026069696,0.00217608
1829,13_1829-02-05_p3_sn84020071_00414182938_1829020501_0009,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9812571,0.0065580322,0.004906994,0.003960627,0.0033172255
1829,1_1829-07-23_p2_sn84020071_00414182938_1829072301_0102,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013727421,0.8179754,0.00059955,0.012910226,0.16714203
1829,39_1829-01-29_p4_sn84020071_00414182926_1829012901_0536,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010684775,0.44207516,0.0045414423,0.003659184,0.53903943
1829,6_1829-06-12_p8_sn83027094_00220720408_1829061201_0008,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31531695,0.14924493,0.0034976194,0.52959526,0.0023451976
