year,id,word_count,cooccur_topic1_house,cooccur_topic2_bank,smallpox_burial_cooccurrences,cooccur_topic3_would,cooccur_topic1_good,cooccur_topic4_remedy,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic4_street,cooccur_topic2_york,cooccur_topic4_cure,cooccur_topic5_court,cooccur_topic5_bill,smallpox_epidemic_cooccurrences,cooccur_topic3_upon,cooccur_topic4_medicine,cooccur_topic5_county,cooccur_topic1_also,smallpox_death_cooccurrences,cooccur_topic2_city,cooccur_topic3_great,cooccur_topic5_state,smallpox_died_cooccurrences,cooccur_topic4_disease,smallpox_plague_cooccurrences,cooccur_topic5_said,cooccur_topic1_sale,cooccur_topic3_time,cooccur_topic2_john,cooccur_topic2_last,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1842,21_1842-11-02_pNone_sn85042147_00202197978_1842110201_0389,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009955136,0.005812008,0.0043285317,0.0034754695,0.9764288
1842,12_1842-03-05_p2_sn83030212_00206530169_1842030501_0218,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28120655,0.0026435559,0.45728052,0.2575678,0.0013016711
1842,18_1842-10-01_p1_sn83030213_00206530170_1842100101_0217,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007219812,0.00044474195,0.32465112,0.6739617,0.00022049299
1842,30_1842-10-08_p2_sn83030213_00206530170_1842100801_0242,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022038274,0.72718203,0.23535065,0.0083944,0.007034573
1842,50_1842-10-27_p2_sn83030213_00206530170_1842102701_0306,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12997767,0.01120733,0.7818885,0.0064935638,0.07043289
1842,86_1842-12-02_p3_sn83030213_00206530170_1842120201_0433,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9659777,0.011938718,0.008934428,0.0071561257,0.0059929695
1842,39_1842-09-15_p1_sn83030213_00206530170_1842091501_0161,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8873392,0.039653342,0.029369414,0.023736412,0.019901708
1842,5_1842-12-29_p3_sn84020071_00414182951_1842122901_0595,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027541774,0.09717984,0.0012151354,0.89803135,0.0008194939
1842,12_1842-10-22_p4_sn84037932_00415668934_1842102201_0057,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044224057,0.0007290996,0.8286987,0.12598541,0.0003627361
1842,6_1842-10-03_p4_sn83030213_00206530170_1842100301_0224,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9886861,0.003990938,0.0029543687,0.0023766763,0.0019919234
1842,22_1842-12-28_p4_sn85042147_00202197978_1842122801_0424,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94383484,0.01957717,0.014742967,0.011889703,0.009955318
1842,88_1842-08-10_p3_sn83030213_00206530170_1842081001_0035,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10228058,0.8717933,0.010475258,0.008411678,0.0070392746
1842,61_1842-11-02_p3_sn83030213_00206530170_1842110201_0329,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076554823,0.9843551,0.0032231132,0.0025926677,0.0021736333
1842,7_1842-12-15_p3_sn84020071_00414182951_1842121501_0587,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010060866,0.0045840796,0.98030704,0.002746818,0.0023012287
1842,106_1842-09-10_p3_sn83030213_00206530170_1842091001_0147,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95428866,0.01615903,0.012009008,0.009557365,0.007985912
1842,8_1842-12-07_p2_sn83030213_00206530170_1842120701_0448,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027841741,0.16087359,0.68659157,0.034758054,0.08993503
1842,79_1842-03-08_p2_sn83030212_00206530169_1842030801_0226,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050247405,0.8868164,0.025517706,0.02034451,0.017074045
1842,34_1842-11-04_p4_sn87090028_00295877959_1842110401_0123,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35270265,0.013268798,0.15811639,0.46924794,0.0066641667
1842,46_1842-08-11_p2_sn83030213_00206530170_1842081101_0038,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14724433,0.01684966,0.012697658,0.010213935,0.8129944
1842,29_1842-01-01_p3_sn83030212_00206530169_1842010101_0003,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044492693,0.0028277724,0.0021184585,0.98917943,0.0014249746
1842,30_1842-08-10_p4_sn83030213_00206530170_1842081001_0036,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98618484,0.0048348513,0.003623448,0.0029145246,0.002442353
