year,id,word_count,cooccur_topic1_house,smallpox_burial_cooccurrences,cooccur_topic5_price,cooccur_topic3_would,cooccur_topic5_good,smallpox_sick_cooccurrences,cooccur_topic4_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic5_stock,cooccur_topic2_street,cooccur_topic2_york,cooccur_topic4_cure,cooccur_topic2_ship,smallpox_epidemic_cooccurrences,cooccur_topic3_upon,cooccur_topic4_medicine,cooccur_topic1_county,cooccur_topic5_assortment,smallpox_death_cooccurrences,cooccur_topic3_state,cooccur_topic3_great,smallpox_died_cooccurrences,cooccur_topic4_every,cooccur_topic4_disease,smallpox_plague_cooccurrences,cooccur_topic1_said,cooccur_topic5_sale,cooccur_topic3_time,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1847,24_1847-07-08_p3_sn82003399_00415660947_1847070801_0233,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29197946,0.12942201,0.0051222285,0.57004595,0.0034303616
1847,21_1847-05-05_p3_sn82007022_00393342894_1847050501_0109,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05801632,0.034607332,0.869825,0.020437075,0.017114278
1847,39_1847-06-02_p1_sn82007022_00393342894_1847060201_0119,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007589709,0.0044702063,0.9106849,0.0027011351,0.07455401
1847,15_1847-07-03_pNone_sn83045784_00415661575_1847070301_0580,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21808384,0.010453378,0.76001537,0.00623543,0.0052120113
1847,16_1847-06-11_p4_sn82003399_00415660947_1847061101_0154,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007456854,0.3850018,0.0031687813,0.0025477,0.6018248
1847,16_1847-12-22_p1_sn82014751_00513688210_1847122201_0243,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59787506,0.0070424154,0.0052048964,0.00419639,0.38568127
1847,23_1847-03-17_p2_sn85042147_00296022615_1847031701_0046,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026784016,0.017235199,0.93725836,0.010183889,0.00853857
1847,16_1847-02-03_p3_sn82007022_00393342894_1847020301_0061,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016856693,0.1559613,0.8413274,0.00055817014,0.00046742262
1847,1_1847-08-04_p4_sn82014751_00513688210_1847080401_0204,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003804933,0.0024137178,0.0018041823,0.99076414,0.001213046
1847,26_1847-06-26_p4_sn82003399_00415660947_1847062601_0202,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008560153,0.25457934,0.49906996,0.10764891,0.13014166
1847,17_1847-08-21_p3_sn82016488_00513688040_1847082101_0830,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9712125,0.010365981,0.0074666264,0.005964522,0.0049904026
1847,3_1847-10-04_p1_sn82007022_00393342894_1847100401_0187,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017693442,0.013719842,0.80664665,0.17730838,0.0005557743
