year,id,word_count,cooccur_topic1_letter,cooccur_topic2_white,cooccur_topic4_land,cooccur_topic5_fame,smallpox_burial_cooccurrences,cooccur_topic3_would,cooccur_topic4_good,cooccur_topic3_brig,cooccur_topic1_received,cooccur_topic4_viii,cooccur_topic1_year,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic2_plain,cooccur_topic2_black,cooccur_topic4_town,cooccur_topic3_day,cooccur_topic5_notice,smallpox_epidemic_cooccurrences,cooccur_topic5_county,smallpox_death_cooccurrences,cooccur_topic3_state,cooccur_topic3_great,smallpox_died_cooccurrences,cooccur_topic2_cotton,smallpox_plague_cooccurrences,cooccur_topic4_portland,cooccur_topic5_make,cooccur_topic5_hereby,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1809,12_1809-01-16_p2_sn83016082_00332895072_1809011601_0537,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32543495,0.19204338,0.47627515,0.0034036757,0.0028428799
1809,32_1809-01-16_pNone_sn83016082_00332895072_1809011601_0539,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5415597,0.03327779,0.025268955,0.3828323,0.017061222
1809,48_1809-12-18_pNone_sn83016082_00332895072_1809121801_0730,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041826848,0.110811286,0.22812752,0.30543053,0.31380385
1809,27_1809-10-09_p4_sn83016082_00332895072_1809100901_0691,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26537985,0.012816213,0.009806345,0.007905441,0.70409214
1809,48_1809-12-11_pNone_sn83016082_00332895072_1809121101_0727,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035910018,0.92740303,0.014847669,0.011877615,0.0099616265
1809,4_1809-09-25_pNone_sn83016082_00332895072_1809092501_0683,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010375913,0.0069022463,0.0051915557,0.9740139,0.0035163057
1809,30_1809-10-30_p2_sn83016082_00332895072_1809103001_0701,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16759138,0.0019847858,0.8281858,0.0012174906,0.0010205264
1809,4_1809-01-16_p2_sn83016082_00332895072_1809011601_0537,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621592,0.08124184,0.27702612,0.010944144,0.009195965
1809,16_1809-01-02_pNone_sn83016082_00332895072_1809010201_0528,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91578716,0.029110078,0.022276372,0.017899428,0.014926949
1809,3_1809-09-25_pNone_sn83016082_00332895072_1809092501_0683,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012517574,0.7475737,0.006300561,0.22934453,0.0042637275
