year,id,word_count,cooccur_topic1_house,cooccur_topic5_several,cooccur_topic4_drop,cooccur_topic2_thee,cooccur_topic4_public,smallpox_burial_cooccurrences,cooccur_topic4_price,cooccur_topic3_would,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic1_street,cooccur_topic5_made,cooccur_topic2_thou,cooccur_topic3_could,smallpox_epidemic_cooccurrences,cooccur_topic4_medicine,smallpox_death_cooccurrences,cooccur_topic5_great,cooccur_topic5_state,smallpox_died_cooccurrences,smallpox_plague_cooccurrences,cooccur_topic1_market,cooccur_topic3_said,cooccur_topic2_love,cooccur_topic4_many,cooccur_topic2_heart,cooccur_topic2_soul,cooccur_topic5_time,cooccur_topic1_john,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1820,22_1820-10-31_p3_sn83016083_00332895102_1820103101_0332,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39677233,0.028918097,0.022006989,0.017772203,0.5345304
1820,9_1820-06-29_p2_sn83016083_00332895102_1820062901_0256,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05540494,0.0014386805,0.0010927223,0.0008798548,0.94118375
1820,12_1820-02-08_p3_sn85025061_00513684939_1820020801_0298,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98474175,0.005486441,0.0039411443,0.0031744556,0.0026561907
1820,6_1820-06-22_pNone_sn83016083_00332895102_1820062201_0247,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9647446,0.012150927,0.009308441,0.0075063035,0.0062896553
1820,13_1820-12-19_p4_sn85025061_00513684939_1820121901_0471,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3002047,0.0108672,0.008078342,0.6754189,0.0054308544
1820,2_1820-10-31_p3_sn83016083_00332895102_1820103101_0332,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01324154,0.007729871,0.678951,0.29609397,0.0039836783
1820,25_1820-06-19_pNone_sn83016083_00332895102_1820061901_0245,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98319846,0.005842745,0.0044118683,0.003560438,0.0029864688
1820,36_1820-10-31_p2_sn83016083_00332895102_1820103101_0331,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12133157,0.00554224,0.86687964,0.0033990303,0.0028475116
1820,6_1820-12-19_p2_sn85025061_00513684939_1820121901_0469,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016415671,0.0010083964,0.9962246,0.00061254686,0.00051288516
1820,9_1820-10-31_p3_sn83016083_00332895102_1820103101_0332,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23179723,0.25302416,0.009816285,0.49872223,0.0066401474
1820,13_1820-10-31_p2_sn83016083_00332895102_1820103101_0331,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014769203,0.0009515313,0.61088604,0.00055688,0.38612866
1820,1_1820-06-29_p2_sn83016083_00332895102_1820062901_0256,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04908791,0.0037126127,0.0028154105,0.002263119,0.94212097
1820,9_1820-06-19_p4_sn83016083_00332895102_1820061901_0246,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9719642,0.009712992,0.0074023535,0.0059359255,0.0049845497
1820,39_1820-06-29_pNone_sn83016083_00332895102_1820062901_0258,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97309697,0.009316787,0.0070750983,0.0057343105,0.0047768974
1820,19_1820-06-22_pNone_sn83016083_00332895102_1820062201_0247,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99163157,0.0029313078,0.0022024778,0.0017589969,0.0014756093
1820,4_1820-12-19_pNone_sn83016083_00332895102_1820121901_0360,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011121648,0.006257629,0.004790652,0.42283902,0.554991
1820,15_1820-07-04_p2_sn83016083_00332895102_1820070401_0260,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3387979,0.0101149045,0.0077081746,0.006199902,0.6371792
1820,3_1820-06-29_p2_sn83016083_00332895102_1820062901_0256,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058818837,0.0035412419,0.9867214,0.0020973757,0.001758067
1820,12_1820-02-29_p3_sn83016083_00332895102_1820022901_0173,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6024657,0.016005397,0.14347161,0.009503721,0.22855346
1820,37_1820-07-04_p2_sn83016083_00332895102_1820070401_0260,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031520784,0.02095073,0.016228199,0.92043287,0.010867382
1820,6_1820-02-29_p2_sn83016083_00332895102_1820022901_0172,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037394827,0.0022461961,0.0017258652,0.9911285,0.0011598843
