year,id,word_count,cooccur_topic4_house,cooccur_topic3_prize,cooccur_topic1_hundred,smallpox_burial_cooccurrences,cooccur_topic5_would,cooccur_topic5_like,smallpox_sick_cooccurrences,cooccur_topic1_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic1_dollar,cooccur_topic4_street,cooccur_topic3_number,smallpox_epidemic_cooccurrences,cooccur_topic5_upon,cooccur_topic3_ticket,cooccur_topic4_wilmington,smallpox_death_cooccurrences,cooccur_topic3_state,smallpox_died_cooccurrences,cooccur_topic5_every,smallpox_plague_cooccurrences,cooccur_topic4_market,cooccur_topic2_said,cooccur_topic5_time,cooccur_topic1_shall,cooccur_topic4_john,cooccur_topic2_country,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1826,10_1826-04-13_p3_sn85042523_00271740244_1826041301_0556,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5597777,0.004040947,0.43173617,0.0024212522,0.0020239607
1826,7_1826-08-01_p2_sn82014309_00414182926_1826080101_0024,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013441134,0.03430581,0.21259917,0.0004623051,0.7391916
1826,24_1826-12-28_p3_sn85042523_00271740244_1826122801_0704,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18162487,0.6679679,0.0006603495,0.03685418,0.11289271
1826,4_1826-08-15_p4_sn82014894_00271740207_1826081501_0710,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019220416,0.0012239858,0.0009181022,0.9953169,0.0006189857
1826,18_1826-03-10_p4_sn82014894_00271740207_1826031001_0529,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070765526,0.0046490375,0.003526258,0.14531918,0.83942896
1826,5_1826-08-11_p4_sn82014894_00271740207_1826081101_0706,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18958135,0.6469006,0.003128553,0.15829249,0.0020970975
1826,25_1826-01-19_p3_sn85042523_00271740244_1826011901_0507,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12676722,0.6612208,0.15507594,0.0007719343,0.056164164
1826,6_1826-11-16_p1_sn85042523_00271740244_1826111601_0676,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14896601,0.09694921,0.0041316077,0.0033229874,0.74663025
1826,5_1826-11-30_p1_sn85042523_00271740244_1826113001_0684,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9847374,0.0053006075,0.004013649,0.0032350065,0.0027134388
1826,18_1826-06-29_p2_sn85042523_00271740244_1826062901_0599,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8618739,0.00076115277,0.13652939,0.00045492838,0.00038054812
