year,id,word_count,cooccur_topic2_country,cooccur_topic5_maine,cooccur_topic1_john,cooccur_topic4_contribution,cooccur_topic5_state,cooccur_topic3_county,cooccur_topic2_part,cooccur_topic5_time,cooccur_topic4_power,cooccur_topic2_public,cooccur_topic4_bank,cooccur_topic3_land,cooccur_topic1_hereby,cooccur_topic1_faid,cooccur_topic5_united,cooccur_topic1_portland,cooccur_topic3_name,cooccur_topic3_town,cooccur_topic4_would,cooccur_topic5_senate,cooccur_topic2_upon,cooccur_topic1_white,cooccur_topic4_dollar,cooccur_topic3_arrived,smallpox_death_cooccurrences,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1801,23_1801-03-02_pNone_sn83016063_00332895059_1801030201_0553,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272144,0.1894698,0.01186653,0.009507684,0.517012
1801,48_1801-08-24_p3_sn83016063_00332895059_1801082401_0656,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05229154,0.03351014,0.1957147,0.02031265,0.69817096
1801,24_1801-08-24_p4_sn83016063_00332895059_1801082401_0657,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97092885,0.010033832,0.007659068,0.0061878585,0.005190403
1801,2_1801-03-09_pNone_sn83016063_00332895059_1801030901_0557,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095011435,0.6034971,0.20871949,0.002853384,0.08991866
1801,1_1801-08-24_p3_sn83016063_00332895059_1801082401_0656,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1495717,0.0053090346,0.8393009,0.0031636148,0.002654773
1801,1_1801-03-02_pNone_sn83016063_00332895059_1801030201_0553,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007540243,0.7985059,0.1889112,0.0027442924,0.002298405
1801,22_1801-03-02_pNone_sn83016063_00332895059_1801030201_0553,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25450662,0.5670624,0.14103821,0.020323943,0.017068857
1801,8_1801-02-16_p2_sn83016063_00332895059_1801021601_0544,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084290884,0.00239266,0.0560148,0.0014276481,0.855874
1801,14_1801-08-24_p3_sn83016063_00332895059_1801082401_0656,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37098315,0.07761932,0.46407613,0.047502164,0.039819278
