year,id,word_count,cooccur_topic4_house,cooccur_topic3_prize,cooccur_topic1_hundred,smallpox_burial_cooccurrences,cooccur_topic5_would,cooccur_topic5_like,smallpox_sick_cooccurrences,cooccur_topic1_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic1_dollar,cooccur_topic4_street,cooccur_topic3_number,smallpox_epidemic_cooccurrences,cooccur_topic5_upon,cooccur_topic3_ticket,cooccur_topic4_wilmington,smallpox_death_cooccurrences,cooccur_topic3_state,smallpox_died_cooccurrences,cooccur_topic5_every,smallpox_plague_cooccurrences,cooccur_topic4_market,cooccur_topic2_said,cooccur_topic5_time,cooccur_topic1_shall,cooccur_topic4_john,cooccur_topic2_country,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1825,7_1825-05-05_p2_sn88053080_00271740244_1825050501_0358,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32227245,0.45179325,0.14093605,0.08423647,0.00076184655
1825,37_1825-12-06_p4_sn82014894_00271740207_1825120601_0417,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008506381,0.0050502606,0.6510952,0.3328053,0.0025428492
1825,4_1825-10-04_p2_sn82014894_00271740207_1825100401_0341,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004589965,0.9029799,0.0018328653,0.08936494,0.0012322705
1825,9_1825-11-03_p4_sn88053080_00271740244_1825110301_0464,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14516433,0.002516205,0.0018386575,0.084162,0.7663188
1825,28_1825-07-21_p3_sn88053080_00271740244_1825072101_0398,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7106966,0.018651223,0.25047988,0.010981038,0.009191252
1825,22_1825-11-03_p3_sn88053080_00271740244_1825110301_0463,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006682502,0.004245999,0.003171055,0.9837656,0.0021348165
1825,51_1825-04-28_p4_sn88053080_00271740244_1825042801_0356,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058731735,0.8680564,0.029513419,0.023762193,0.019936267
1825,7_1825-07-21_p4_sn88053080_00271740244_1825072101_0399,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034299449,0.0022899339,0.0017332146,0.99137604,0.0011708025
1825,4_1825-07-28_p2_sn88053080_00271740244_1825072801_0401,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095686525,0.554069,0.017903471,0.025300412,0.30704063
1825,2_1825-07-14_p2_sn88053080_00271740244_1825071401_0393,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36700454,0.15821359,0.0021127986,0.15225783,0.3204112
1825,3_1825-07-28_p1_sn88053080_00271740244_1825072801_0400,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029192432,0.39126343,0.0013669581,0.0010971479,0.60335326
1825,6_1825-11-29_p1_sn82014894_00271740207_1825112901_0406,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004060238,0.002378989,0.030363066,0.9620143,0.0011833769
1825,6_1825-08-25_p3_sn88053080_00271740244_1825082501_0418,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004406247,0.0027432907,0.0020164596,0.59196067,0.39887327
1825,38_1825-05-26_p4_sn88053080_00271740244_1825052601_0372,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9507314,0.017871903,0.012670144,0.010186384,0.008540236
1825,12_1825-12-09_p3_sn82014894_00271740207_1825120901_0420,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038936477,0.026286589,0.9057043,0.015802355,0.013270224
1825,16_1825-09-30_p4_sn82014894_00271740207_1825093001_0338,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013370406,0.008724914,0.006535209,0.9669457,0.0044237664
1825,5_1825-12-06_p3_sn82014894_00271740207_1825120601_0416,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003572621,0.0022001804,0.0016299249,0.99151075,0.0010865456
1825,10_1825-09-06_p1_sn82014894_00271740207_1825090601_0307,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38896587,0.016119672,0.57741797,0.009528837,0.007967613
1825,5_1825-08-11_p2_sn88053080_00271740244_1825081101_0409,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159402,0.24713324,0.08132035,0.05555708,0.6143953
1825,6_1825-10-11_p1_sn82014894_00271740207_1825101101_0348,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055769207,0.0033988403,0.88049865,0.108794555,0.0017309805
1825,8_1825-10-20_p3_sn88053080_00271740244_1825102001_0455,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071172086,0.00441053,0.8114561,0.17476188,0.0022543434
1825,5_1825-08-30_p3_sn82014894_00271740207_1825083001_0301,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149111245,0.44513986,0.006813901,0.42882016,0.10431497
1825,3_1825-09-30_p1_sn82014894_00271740207_1825093001_0335,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0073776944,0.0048590503,0.003672974,0.15287715,0.8312131
1825,34_1825-09-27_p3_sn82014894_00271740207_1825092701_0333,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003991683,0.0021651168,0.25680923,0.7359574,0.0010765397
1825,13_1825-05-12_p1_sn88053080_00271740244_1825051201_0361,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046751026,0.004008978,0.002990485,0.0024124566,0.94383705
1825,7_1825-05-05_p3_sn88053080_00271740244_1825050501_0359,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15642026,0.63319814,0.00090550096,0.20886883,0.00060723285
1825,9_1825-12-13_p4_sn82014894_00271740207_1825121301_0425,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044785745,0.003819236,0.0028814177,0.9465864,0.0019272285
1825,19_1825-08-11_p4_sn88053080_00271740244_1825081101_0411,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017906368,0.012177449,0.00926004,0.95437306,0.006283102
1825,4_1825-12-29_p2_sn85042523_00271740244_1825122901_0493,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027626124,0.25453913,0.7410065,0.0009209724,0.0007708096
1825,34_1825-10-04_p3_sn82014894_00271740207_1825100401_0342,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77420187,0.07913299,0.05933172,0.047527906,0.03980543
1825,4_1825-12-13_p3_sn82014894_00271740207_1825121301_0424,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032207426,0.0018777405,0.0013968379,0.9635771,0.0009408684
1825,5_1825-12-29_p3_sn85042523_00271740244_1825122901_0494,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035810869,0.0022613187,0.0016920398,0.99132735,0.0011381364
1825,9_1825-12-16_p2_sn82014894_00271740207_1825121601_0427,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25172904,0.65284294,0.00086593063,0.00069709175,0.093865015
1825,19_1825-09-06_p4_sn82014894_00271740207_1825090601_0310,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41165614,0.3110862,0.016216988,0.25017923,0.010861344
1825,10_1825-07-14_p1_sn88053080_00271740244_1825071401_0392,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10992575,0.1927858,0.0008028082,0.00064367446,0.69584197
1825,2_1825-10-07_p1_sn82014894_00271740207_1825100701_0344,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051283976,0.0032090573,0.9011226,0.08890412,0.0016358657
1825,21_1825-12-02_p1_sn82014894_00271740207_1825120201_0410,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015314969,0.010169937,0.00769211,0.9616275,0.0051955213
1825,5_1825-04-21_p2_sn88053080_00271740244_1825042101_0350,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037395535,0.9925609,0.0014954641,0.0011990418,0.0010050825
1825,17_1825-08-04_p4_sn88053080_00271740244_1825080401_0407,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014590647,0.009690223,0.0073516513,0.96339107,0.0049764425
