year,id,word_count,cooccur_topic3_house,cooccur_topic5_white,cooccur_topic2_bank,cooccur_topic3_public,cooccur_topic1_work,smallpox_burial_cooccurrences,cooccur_topic4_would,cooccur_topic4_good,cooccur_topic4_france,cooccur_topic1_received,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic5_black,cooccur_topic2_town,cooccur_topic5_company,smallpox_epidemic_cooccurrences,cooccur_topic2_county,smallpox_death_cooccurrences,cooccur_topic4_state,cooccur_topic1_read,cooccur_topic4_great,cooccur_topic1_american,smallpox_died_cooccurrences,cooccur_topic5_cotton,smallpox_plague_cooccurrences,cooccur_topic2_time,cooccur_topic1_vessel,cooccur_topic5_shall,cooccur_topic3_bill,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1810,4_1810-01-01_p2_sn83016082_00332895084_1810010101_0004,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003814873,0.0024112395,0.0018206709,0.9907345,0.0012187455
1810,7_1810-04-18_p1_sn82014385_00271740232_1810041801_0254,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034521755,0.0021550695,0.0016244263,0.0013067091,0.99146163
1810,10_1810-06-11_p1_sn83016082_00332895084_1810061101_0095,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003742143,0.002495788,0.0018929989,0.0015301064,0.990339
1810,5_1810-03-31_p1_sn82014385_00271740232_1810033101_0233,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4769382,0.50304306,0.008108886,0.006475121,0.0054347985
1810,5_1810-02-14_p3_sn82014385_00271740232_1810021401_0215,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30947113,0.02162925,0.6450698,0.012976306,0.010853541
1810,11_1810-01-01_p2_sn83016082_00332895084_1810010101_0004,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12522963,0.08726504,0.12987351,0.65661913,0.0010126791
1810,15_1810-12-24_pNone_sn83016082_00332895084_1810122401_0207,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008359119,0.0053580995,0.004088649,0.0033070731,0.978887
1810,5_1810-12-17_pNone_sn83016082_00332895084_1810121701_0204,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12365928,0.1408049,0.73252004,0.001641969,0.0013737323
1810,21_1810-04-04_p3_sn82014385_00271740232_1810040401_0240,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016171692,0.6795593,0.0076780175,0.0061967913,0.29039413
1810,4_1810-05-16_p3_sn82014385_00271740232_1810051601_0265,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9841931,0.0055652764,0.004149353,0.0033157608,0.002776623
1810,7_1810-01-31_p2_sn82014385_00271740232_1810013101_0208,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3208862,0.0026843038,0.6734871,0.0015996414,0.0013426478
