year,id,word_count,cooccur_topic3_house,cooccur_topic5_white,cooccur_topic2_bank,cooccur_topic3_public,cooccur_topic1_work,smallpox_burial_cooccurrences,cooccur_topic4_would,cooccur_topic4_good,cooccur_topic4_france,cooccur_topic1_received,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic5_black,cooccur_topic2_town,cooccur_topic5_company,smallpox_epidemic_cooccurrences,cooccur_topic2_county,smallpox_death_cooccurrences,cooccur_topic4_state,cooccur_topic1_read,cooccur_topic4_great,cooccur_topic1_american,smallpox_died_cooccurrences,cooccur_topic5_cotton,smallpox_plague_cooccurrences,cooccur_topic2_time,cooccur_topic1_vessel,cooccur_topic5_shall,cooccur_topic3_bill,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1813,1_1813-04-05_pNone_sn83016082_00332895084_1813040501_0675,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013928607,0.9697478,0.0066155093,0.00528394,0.0044241683
1813,7_1813-12-20_p4_sn83016082_00332895084_1813122001_0814,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005210717,0.75895596,0.0022852875,0.1438956,0.0896524
1813,25_1813-12-13_p3_sn83016082_00332895084_1813121301_0809,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9162433,0.029054204,0.02198051,0.017800018,0.014921972
1813,29_1813-11-22_p3_sn83016082_00332895084_1813112201_0797,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13752232,0.06848199,0.23098733,0.56178916,0.0012192475
1813,41_1813-12-27_pNone_sn83016082_00332895084_1813122701_0815,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9012575,0.03587118,0.025485495,0.020334698,0.017051145
1813,11_1813-11-22_p3_sn83016082_00332895084_1813112201_0797,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024322003,0.9536879,0.008882835,0.00713877,0.0059683784
1813,2_1813-11-22_p3_sn83016082_00332895084_1813112201_0797,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9442295,0.019288091,0.014649172,0.011863388,0.009969921
1813,18_1813-12-13_p3_sn83016082_00332895084_1813121301_0809,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1996282,0.39694208,0.40066898,0.0015035234,0.0012572586
1813,11_1813-12-20_p4_sn83016082_00332895084_1813122001_0814,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18122622,0.8101615,0.0034716984,0.0027966187,0.0023440104
1813,22_1813-06-14_p3_sn83016082_00332895084_1813061401_0705,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24602184,0.6140819,0.0022822563,0.13608052,0.0015335347
1813,3_1813-11-22_p2_sn83016082_00332895084_1813112201_0796,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9382226,0.021692406,0.016248202,0.01297446,0.0108623
1813,27_1813-11-22_p3_sn83016082_00332895084_1813112201_0797,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003469167,0.6623978,0.0385872,0.2945337,0.0010120455
1813,13_1813-12-27_pNone_sn83016082_00332895084_1813122701_0815,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06807706,0.039709102,0.02947953,0.02373607,0.8389982
1813,23_1813-12-06_p2_sn83016082_00332895084_1813120601_0804,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09207049,0.05875348,0.78376293,0.035560325,0.02985279
