year,n_articles,total_word_count,topic1_total,topic2_total,topic3_total,topic4_total,topic5_total,topic1_avg_prob,topic2_avg_prob,topic3_avg_prob,topic4_avg_prob,topic5_avg_prob,total_smallpox_death_cooccurrences
1840,805,94552,0,0,0,0,0,0.25580371086763976,0.12696913965551554,0.3068596617599503,0.09212931875946583,0.21823816654279501,0
1841,3001,285145,0,0,11,12,0,0.3778989133239353,0.17404222831095303,0.14075083366409863,0.18589670775953016,0.1214113158346751,0
1842,2129,186769,1,0,1,1,1,0.31372205697727096,0.21312668035062468,0.20185332086802255,0.14257579937357917,0.12872214202803195,0
1843,4165,360417,0,6,6,1,2,0.34178534396403604,0.2293451694263529,0.20494373807693397,0.11344575888787516,0.11047998900713085,0
