year,id,word_count,cooccur_topic1_house,cooccur_topic2_bank,smallpox_burial_cooccurrences,cooccur_topic3_would,cooccur_topic1_good,cooccur_topic4_remedy,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic4_street,cooccur_topic2_york,cooccur_topic4_cure,cooccur_topic5_court,cooccur_topic5_bill,smallpox_epidemic_cooccurrences,cooccur_topic3_upon,cooccur_topic4_medicine,cooccur_topic5_county,cooccur_topic1_also,smallpox_death_cooccurrences,cooccur_topic2_city,cooccur_topic3_great,cooccur_topic5_state,smallpox_died_cooccurrences,cooccur_topic4_disease,smallpox_plague_cooccurrences,cooccur_topic5_said,cooccur_topic1_sale,cooccur_topic3_time,cooccur_topic2_john,cooccur_topic2_last,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1840,29_1840-12-25_pNone_sn92053237_00212472025_1840122501_0132,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064130455,0.36254844,0.5295923,0.023783956,0.019944865
1840,32_1840-02-08_p1_sn82015015_00415661265_1840020801_0073,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021771273,0.011787695,0.008854343,0.0071428227,0.9504439
1840,4_1840-11-28_p3_sn82015413_00212471367_1840112801_0106,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20982523,0.0015681951,0.78691036,0.0009227743,0.00077343266
1840,14_1840-02-15_p3_sn82015015_00415661265_1840021501_0084,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084671495,0.0005619717,0.84248734,0.0003390409,0.15576491
1840,7_1840-12-25_pNone_sn92053237_00212472025_1840122501_0131,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11343046,0.3868876,0.0048381276,0.0038698218,0.49097395
1840,16_1840-10-08_p2_sn84020071_00414182951_1840100801_0152,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3328376,0.22998515,0.175693,0.14213863,0.11934564
1840,12_1840-07-02_p3_sn84020071_00414182951_1840070201_0105,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009052577,0.00057827367,0.5597693,0.00034104206,0.43840608
1840,12_1840-12-03_p4_sn84020071_00414182951_1840120301_0186,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983462,0.0057907994,0.004342032,0.0034882356,0.002916933
1840,4_1840-06-06_p3_sn82015413_00212471367_1840060601_0007,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3104555,0.0019536559,0.6291394,0.057493772,0.00095764914
1840,8_1840-12-19_p3_sn82015413_00212471367_1840121901_0118,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043324564,0.9076144,0.019940386,0.01583591,0.013284634
1840,5_1840-11-05_p2_sn84020071_00414182951_1840110501_0168,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009804565,0.0006211195,0.9360602,0.0003691545,0.06196911
1840,72_1840-03-07_p2_sn86074078_0029587885A_1840030701_0717,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9880652,0.0042225034,0.0031133296,0.0025002274,0.0020987412
1840,7_1840-02-22_p1_sn82015015_00415661265_1840022201_0094,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007120068,0.0046754894,0.0034737173,0.9823857,0.0023450092
1840,3_1840-01-25_p4_sn86074078_0029587885A_1840012501_0695,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9934663,0.0023132493,0.0017010064,0.0013698459,0.0011495887
1840,74_1840-01-14_p4_sn82015015_00415661265_1840011401_0035,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005611874,0.28258818,0.70769566,0.0022327618,0.0018715011
1840,3_1840-09-18_p2_sn82014892_00393342870_1840091801_0016,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012671136,0.006142806,0.97445625,0.0036623245,0.0030675197
1840,13_1840-01-25_p4_sn82015015_00415661265_1840012501_0051,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79504204,0.007829193,0.0059165913,0.18721728,0.0039949063
1840,39_1840-01-23_p4_sn82015015_00415661265_1840012301_0047,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048110345,0.0030339705,0.0022184837,0.9884419,0.0014946176
1840,25_1840-01-07_p1_sn82015015_00415661265_1840010701_0024,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002002111,0.001256397,0.00093482435,0.9497002,0.046106484
1840,19_1840-01-09_p4_sn84020071_00414182951_1840010901_0014,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6225837,0.0056542684,0.004270873,0.17944808,0.1880432
1840,4_1840-06-27_p1_sn87065337_00295878204_1840062701_0021,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051865373,0.45783094,0.0022222225,0.0017848207,0.5329755
1840,27_1840-12-25_pNone_sn92053237_00212472025_1840122501_0132,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037547355,0.093250595,0.0018212402,0.0014580758,0.8997153
1840,2_1840-08-21_pNone_sn87065695_00295877595_1840082101_0547,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14254744,0.8528675,0.0018508635,0.0014875127,0.0012466932
1840,25_1840-01-21_p4_sn82015015_00415661265_1840012101_0043,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9727584,0.009637473,0.0071022976,0.005716343,0.004785444
1840,22_1840-06-25_p3_sn84020071_00414182951_1840062501_0101,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031877175,0.07385721,0.88454413,0.0007226597,0.008998869
1840,48_1840-02-04_p4_sn82015015_00415661265_1840020401_0067,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034466166,0.023353292,0.9159763,0.014258231,0.011946133
1840,9_1840-09-18_p4_sn82014892_00393342870_1840091801_0018,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2580592,0.00066746335,0.040936768,0.00039918596,0.6999374
1840,4_1840-11-05_p3_sn84020071_00414182951_1840110501_0169,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025826967,0.0014880921,0.0011121733,0.00089651684,0.9939205
1840,8_1840-09-17_p1_sn84020071_00414182951_1840091701_0143,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9758201,0.008446906,0.006350934,0.005108947,0.0042731473
1840,1_1840-03-28_p3_sn82014892_00393342870_1840032801_0009,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11029892,0.00090701965,0.7843124,0.00054120464,0.10394047
1840,2_1840-11-12_p2_sn84020071_00414182951_1840111201_0172,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09737665,0.008415609,0.66717774,0.0049243122,0.22210571
1840,31_1840-03-20_p1_sn87065694_00295877595_1840032001_0475,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78815746,0.0027064893,0.001966123,0.0015829926,0.20558691
1840,19_1840-12-25_pNone_sn92053237_00212472025_1840122501_0134,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032738283,0.021311523,0.016103968,0.9189831,0.010863119
1840,10_1840-10-17_pNone_sn83016867_00295877637_1840101701_0639,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002105858,0.001235034,0.99531317,0.0007323312,0.00061356823
1840,61_1840-02-04_p4_sn82015015_00415661265_1840020401_0067,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9693633,0.010652488,0.008070368,0.006478572,0.0054353136
1840,33_1840-04-04_pNone_sn83016867_00295877637_1840040401_0532,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009925176,0.70724267,0.27627346,0.0035679773,0.002990839
1840,3_1840-01-01_p3_sn86053569_00415661502_1840010101_0523,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1715815,0.0076493,0.81256694,0.00446293,0.00373933
1840,7_1840-06-06_p1_sn87065543_00415662026_1840060601_0013,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009723204,0.006450548,0.0047914665,0.0038549684,0.97517985
1840,24_1840-02-08_p2_sn82015015_00415661265_1840020801_0074,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019492913,0.0033365388,0.9334737,0.041999895,0.0016970581
1840,15_1840-02-04_p3_sn82015015_00415661265_1840020401_0066,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36508396,0.0131835425,0.6071303,0.007947447,0.0066548255
1840,18_1840-09-17_p3_sn84020071_00414182951_1840091701_0145,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012257374,0.28854072,0.7094942,0.0004023078,0.00033707486
1840,4_1840-03-20_p1_sn87065694_00295877595_1840032001_0475,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006927308,0.98907036,0.0016173096,0.0012976369,0.0010873923
1840,30_1840-07-18_p3_sn86053569_00415661502_1840071801_0628,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571573,0.40097308,0.011061321,0.008915104,0.0074774628
1840,34_1840-01-25_p3_sn82015015_00415661265_1840012501_0050,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98460096,0.005373396,0.004051194,0.0032551424,0.0027191564
1840,1_1840-09-01_pNone_sn83016884_0041566199A_1840090101_0251,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026176285,0.0016860317,0.051616415,0.94323766,0.0008422513
1840,27_1840-01-11_p3_sn82015015_00415661265_1840011101_0030,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011213534,0.04871063,0.88289744,0.00040920018,0.06686147
1840,43_1840-01-18_p4_sn83016867_00295877637_1840011801_0494,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55566335,0.013543418,0.009953735,0.087446764,0.3333927
1840,2_1840-01-11_p3_sn82015015_00415661265_1840011101_0030,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002208033,0.06446237,0.93182826,0.00081707584,0.00068424875
1840,7_1840-04-30_pNone_sn83016942_00295878204_1840043001_1034,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5991778,0.00574747,0.0042090644,0.0033947662,0.38747093
1840,5_1840-02-01_p4_sn82015015_00415661265_1840020101_0063,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004812906,0.0028608313,0.0021236828,0.98877835,0.0014241934
1840,14_1840-02-18_p3_sn82015015_00415661265_1840021801_0088,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015929563,0.8671663,0.10640937,0.0057089613,0.0047858437
1840,25_1840-02-13_p4_sn82015015_00415661265_1840021301_0080,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4558847,0.012430915,0.5178638,0.0075264797,0.006294166
1840,49_1840-06-19_pNone_sn87065694_00295877595_1840061901_0523,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052400474,0.4992704,0.00402488,0.003239516,0.44106472
1840,3_1840-11-07_p2_sn87065377_00199917304_1840110701_0584,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026476232,0.9414873,0.0011688152,0.053913638,0.00078259845
