year,id,word_count,cooccur_topic3_name,cooccur_topic4_contribution,cooccur_topic3_town,cooccur_topic5_maine,cooccur_topic1_portland,cooccur_topic2_part,cooccur_topic3_arrived,cooccur_topic4_bank,cooccur_topic3_land,cooccur_topic5_time,cooccur_topic5_state,cooccur_topic3_county,cooccur_topic2_upon,cooccur_topic1_hereby,cooccur_topic1_john,cooccur_topic4_dollar,cooccur_topic1_faid,cooccur_topic2_country,cooccur_topic5_senate,cooccur_topic1_white,cooccur_topic4_would,cooccur_topic5_united,cooccur_topic2_public,smallpox_death_cooccurrences,cooccur_topic4_power,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1803,7_1803-01-03_p2_sn83016072_00332895060_1803010301_0127,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052182414,0.988136,0.0026789762,0.0021567678,0.0018099883
1803,40_1803-06-27_p3_sn83016072_00332895060_1803062701_0230,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8991096,0.07999318,0.008436032,0.006776543,0.0056846305
1803,11_1803-07-04_p3_sn83016072_00332895060_1803070401_0234,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75982517,0.10709635,0.014808175,0.10831683,0.009953448
1803,29_1803-01-10_p3_sn83016072_00332895060_1803011001_0132,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00777796,0.0040681125,0.98363876,0.0024563496,0.0020588443
1803,39_1803-06-06_p3_sn83016072_00332895060_1803060601_0218,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3075304,0.010100349,0.6714477,0.0059418227,0.0049798014
1803,4_1803-06-06_p1_sn83016072_00332895060_1803060601_0216,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055074883,0.80535144,0.0027358003,0.18456802,0.0018372217
1803,1_1803-06-27_p3_sn83016072_00332895060_1803062701_0230,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017246852,0.5385258,0.43284,0.0061910143,0.005196256
1803,21_1803-06-27_p3_sn83016072_00332895060_1803062701_0230,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9252411,0.025898967,0.019780245,0.015814364,0.01326532
1803,4_1803-07-25_p2_sn83021505_00332895060_1803072501_0245,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017198808,0.54620636,0.42567143,0.0059481286,0.004975333
1803,47_1803-07-11_pNone_sn83021505_00332895060_1803071101_0239,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3328376,0.22998515,0.175693,0.14213863,0.11934564
1803,37_1803-06-20_p3_sn83016072_00332895060_1803062001_0226,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8023827,0.17771965,0.008005062,0.006465847,0.0054266537
1803,44_1803-06-27_p3_sn83016072_00332895060_1803062701_0230,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9671159,0.01191723,0.008464521,0.006800294,0.00570221
1803,26_1803-05-30_p3_sn83016072_00332895060_1803053001_0214,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057127266,0.003646854,0.98661023,0.0021923322,0.0018378424
1803,24_1803-01-03_p3_sn83016072_00332895060_1803010301_0128,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464104,0.021277245,0.016106674,0.012939623,0.48557246
1803,12_1803-06-27_p3_sn83016072_00332895060_1803062701_0230,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6664156,0.11499366,0.08784734,0.07106999,0.059673388
1803,3_1803-06-06_p1_sn83016072_00332895060_1803060601_0216,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006092807,0.98681074,0.0028718254,0.0022976438,0.0019269062
