year,id,word_count,cooccur_topic1_house,cooccur_topic5_several,cooccur_topic4_drop,cooccur_topic2_thee,cooccur_topic4_public,smallpox_burial_cooccurrences,cooccur_topic4_price,cooccur_topic3_would,smallpox_sick_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic1_street,cooccur_topic5_made,cooccur_topic2_thou,cooccur_topic3_could,smallpox_epidemic_cooccurrences,cooccur_topic4_medicine,smallpox_death_cooccurrences,cooccur_topic5_great,cooccur_topic5_state,smallpox_died_cooccurrences,smallpox_plague_cooccurrences,cooccur_topic1_market,cooccur_topic3_said,cooccur_topic2_love,cooccur_topic4_many,cooccur_topic2_heart,cooccur_topic2_soul,cooccur_topic5_time,cooccur_topic1_john,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1822,4_1822-09-24_p4_sn83016083_00332895102_1822092401_0834,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5519563,0.008137971,0.006133125,0.35856828,0.075204246
1822,43_1822-09-24_p3_sn83016083_00332895102_1822092401_0833,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026814401,0.015830053,0.011840479,0.087638535,0.85787654
1822,45_1822-09-24_p4_sn83016083_00332895102_1822092401_0834,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57845056,0.0050960113,0.0038672476,0.0031038139,0.40948227
1822,5_1822-10-01_p4_sn83016083_00332895102_1822100101_0838,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9751401,0.0085918745,0.006569077,0.005273149,0.0044258838
1822,13_1822-10-08_p2_sn83016083_00332895102_1822100801_0842,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9328822,0.023066474,0.017827528,0.014267204,0.011956549
1822,4_1822-02-01_pNone_sn83016083_00332895102_1822020101_0662,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004318231,0.9905194,0.0020816203,0.0016754899,0.0014052613
1822,28_1822-10-08_p2_sn83016083_00332895102_1822100801_0842,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077376496,0.0049406597,0.0038048015,0.0030347602,0.98048216
1822,7_1822-09-24_p3_sn83016083_00332895102_1822092401_0833,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9680272,0.011066594,0.008432422,0.006782617,0.0056912345
1822,10_1822-10-01_p1_sn83016083_00332895102_1822100101_0835,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35325232,0.007119968,0.17136595,0.004324002,0.46393773
1822,11_1822-10-01_p4_sn83016083_00332895102_1822100101_0838,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004817125,0.0030790414,0.0023311607,0.9882008,0.0015718611
1822,31_1822-10-01_p6_sn83016083_00332895102_1822100101_0840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3328376,0.22998515,0.175693,0.14213863,0.11934564
1822,6_1822-09-24_p1_sn83016083_00332895102_1822092401_0831,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9788242,0.0074361553,0.0055460273,0.004460133,0.0037334976
1822,8_1822-10-01_p4_sn83016083_00332895102_1822100101_0838,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98399657,0.0055342996,0.004227258,0.0033959867,0.002845907
1822,26_1822-09-24_p4_sn83016083_00332895102_1822092401_0834,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4214785,0.016471129,0.011904389,0.5421797,0.007966235
1822,9_1822-09-24_p1_sn83016083_00332895102_1822092401_0831,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048533897,0.2692201,0.22705288,0.093883425,0.4049902
1822,22_1822-10-08_p2_sn83016083_00332895102_1822100801_0842,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065194694,0.0039002034,0.0029085616,0.98471284,0.0019589667
1822,44_1822-09-24_p3_sn83016083_00332895102_1822092401_0833,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01681943,0.009779822,0.0074397987,0.0059484164,0.96001256
1822,50_1822-09-24_p3_sn83016083_00332895102_1822092401_0833,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017105887,0.010174768,0.007738248,0.27627173,0.6887094
1822,3_1822-09-24_p4_sn83016083_00332895102_1822092401_0834,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45698762,0.0017121498,0.0013036272,0.0010418808,0.5389547
1822,30_1822-10-15_p3_sn83016083_00332895102_1822101501_0847,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8860842,0.040385038,0.029890772,0.023741348,0.019898584
