year,id,word_count,cooccur_topic1_house,cooccur_topic3_upon,cooccur_topic2_last,cooccur_topic4_street,cooccur_topic2_john,cooccur_topic1_also,cooccur_topic5_state,cooccur_topic5_county,cooccur_topic3_time,cooccur_topic4_disease,cooccur_topic5_court,cooccur_topic3_would,cooccur_topic1_sale,cooccur_topic4_cure,cooccur_topic2_york,cooccur_topic4_medicine,cooccur_topic4_remedy,cooccur_topic1_good,cooccur_topic5_said,cooccur_topic3_great,cooccur_topic2_bank,cooccur_topic5_bill,cooccur_topic2_city,smallpox_death_cooccurrences,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1843,23_1843-01-09_p3_sn83030213_00206530170_1843010901_0557,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021338633,0.9953181,0.0010311912,0.00082488253,0.0006918913
1843,42_1843-03-27_p4_sn83030213_00206530182_1843032701_0094,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97299206,0.009428947,0.007072712,0.005719658,0.0047867117
1843,10_1843-04-26_p3_sn85042147_00202197978_1843042601_0495,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021737916,0.47620854,0.18867278,0.0008495481,0.3320953
1843,49_1843-04-27_p3_sn83030213_00206530182_1843042701_0203,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9678897,0.011211084,0.008416801,0.0067909826,0.0056913523
1843,13_1843-04-25_p2_sn83030213_00206530182_1843042501_0194,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017387535,0.13712795,0.5927674,0.0006036946,0.26776215
1843,48_1843-10-18_p4_sn85042147_00202197978_1843101801_0599,518,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0054683792,0.0006145824,0.00045532835,0.9931563,0.00030541417
1843,44_1843-08-01_p1_sn83030213_00206530182_1843080101_0525,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7300272,0.0022553098,0.0016941418,0.264884,0.0011393961
1843,51_1843-05-26_p4_sn83030213_00206530182_1843052601_0304,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87393355,0.1114173,0.005910605,0.00475318,0.0039854106
1843,2_1843-07-25_p2_sn83030213_00206530182_1843072501_0502,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14799774,0.39537036,0.36336726,0.09279889,0.0004657647
1843,4_1843-12-06_p4_sn82016317_00415661642_1843120601_0148,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43025804,0.007352966,0.0055725165,0.5530749,0.0037416387
