id,word_count,cooccurrences,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
33_1800-09-22_p4_sn83016063_00332895059_1800092201_0462,98,0,0.47675272822380066,0.43481409549713135,0.035864267498254776,0.028663091361522675,0.023905793204903603
34_1800-09-22_p4_sn83016063_00332895059_1800092201_0462,65,0,0.04001463204622269,0.9161369800567627,0.017635751515626907,0.01427402812987566,0.01193860825151205
36_1800-09-22_p4_sn83016063_00332895059_1800092201_0462,193,0,0.08736887574195862,0.011634202674031258,0.8879138827323914,0.0,0.0
37_1800-09-22_p4_sn83016063_00332895059_1800092201_0462,51,0,0.7756630182266235,0.07791603356599808,0.05924616754055023,0.04737989604473114,0.03979485109448433
12_1800-09-22_p4_sn83016063_00332895059_1800092201_0462,81,0,0.8880159854888916,0.038951799273490906,0.029352286830544472,0.023770462721586227,0.019909465685486794
23_1800-09-22_p4_sn83016063_00332895059_1800092201_0462,284,0,0.028739331290125847,0.9374971985816956,0.013594129122793674,0.010983270592987537,0.0
25_1800-09-22_p4_sn83016063_00332895059_1800092201_0462,212,0,0.06777762621641159,0.8441334962844849,0.03571204096078873,0.028449809178709984,0.023927094414830208
8_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,124,0,0.673307478427887,0.025889791548252106,0.019690878689289093,0.015793371945619583,0.26531848311424255
11_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,48,0,0.03986325114965439,0.9113528728485107,0.01965075545012951,0.015860402956604958,0.013272733427584171
12_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,208,0,0.5263499021530151,0.13111232221126556,0.3300752639770508,0.0,0.0
13_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,173,0,0.014414088800549507,0.0,0.9648739099502563,0.0,0.0
14_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,89,0,0.6664161682128906,0.11499348282814026,0.08784720301628113,0.0710698813199997,0.05967329442501068
16_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,48,0,0.8660532236099243,0.046208035200834274,0.03535199910402298,0.02851354330778122,0.02387319877743721
19_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,80,0,0.05676955729722977,0.8702487945556641,0.029282625764608383,0.023749137297272682,0.01994985342025757
21_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,120,0,0.9152356386184692,0.029984375461935997,0.022093303501605988,0.017767539247870445,0.014919159933924675
25_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,35,0,0.33283761143684387,0.22998513281345367,0.17569300532341003,0.14213863015174866,0.11934563517570496
27_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,24,0,0.8886188864707947,0.03839109092950821,0.029401643201708794,0.023696325719356537,0.019892064854502678
32_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,81,0,0.8296831250190735,0.060894668102264404,0.04401511326432228,0.03554784134030342,0.029859257861971855
33_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,68,0,0.08699037879705429,0.8033973574638367,0.04403771087527275,0.03571169450879097,0.02986287511885166
35_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,605,0,0.3681632876396179,0.18302589654922485,0.0,0.0,0.4393712282180786
37_1800-09-15_pNone_sn83016063_00332895059_1800091501_0457,295,0,0.0,0.0,0.0,0.97700035572052,0.0
