id,word_count,smallpox_death_cooccurrences,cooccur_topic1_black,cooccur_topic1_cotton,cooccur_topic1_white,cooccur_topic1_received,cooccur_topic1_good,cooccur_topic2_state,cooccur_topic2_house,cooccur_topic2_bill,cooccur_topic2_shall,cooccur_topic2_time,cooccur_topic3_bank,cooccur_topic3_capt,cooccur_topic3_american,cooccur_topic3_wilmington,cooccur_topic3_british,cooccur_topic4_shall,cooccur_topic4_company,cooccur_topic4_article,cooccur_topic4_person,cooccur_topic4_medicine,cooccur_topic5_state,cooccur_topic5_dollar,cooccur_topic5_shall,cooccur_topic5_share,cooccur_topic5_town,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
4_1810-01-01_p2_sn83016082_00332895084_1810010101_0004,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9913798570632935,0.0,0.0,0.0
7_1810-04-18_p1_sn82014385_00271740232_1810041801_0254,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9910534620285034,0.0
10_1810-06-11_p1_sn83016082_00332895084_1810061101_0095,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9926392436027527,0.0,0.0,0.0,0.0
5_1810-03-31_p1_sn82014385_00271740232_1810033101_0233,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01630425453186035,0.77204430103302,0.19916850328445435,0.0,0.0
5_1810-02-14_p3_sn82014385_00271740232_1810021401_0215,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038872238248586655,0.912419855594635,0.019622931256890297,0.015803012996912003,0.01328195445239544
11_1810-01-01_p2_sn83016082_00332895084_1810010101_0004,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42672622203826904,0.5692766308784485,0.0,0.0,0.0
15_1810-12-24_pNone_sn83016082_00332895084_1810122401_0207,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9830376505851746,0.0,0.0,0.0,0.0
5_1810-12-17_pNone_sn83016082_00332895084_1810121701_0204,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9905434846878052,0.0,0.0,0.0
21_1810-04-04_p3_sn82014385_00271740232_1810040401_0240,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016358591616153717,0.010693504475057125,0.2668475806713104,0.33408263325691223,0.3720177114009857
4_1810-05-16_p3_sn82014385_00271740232_1810051601_0265,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.978833794593811,0.0,0.0
