id,word_count,smallpox_death_cooccurrences,cooccur_topic1_power,cooccur_topic1_time,cooccur_topic1_state,cooccur_topic1_public,cooccur_topic1_government,cooccur_topic2_black,cooccur_topic2_portland,cooccur_topic2_white,cooccur_topic2_good,cooccur_topic2_john,cooccur_topic3_bill,cooccur_topic3_bank,cooccur_topic3_dollar,cooccur_topic3_name,cooccur_topic3_read,cooccur_topic4_aged,cooccur_topic4_land,cooccur_topic4_town,cooccur_topic4_acre,cooccur_topic4_half,cooccur_topic5_county,cooccur_topic5_town,cooccur_topic5_name,cooccur_topic5_incorporate,cooccur_topic5_portland,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
16_1804-08-13_p1_sn83016081_00332895060_1804081301_0167,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38634228706359863,0.1952524483203888,0.0531034991145134,0.0,0.36390039324760437
36_1804-06-11_p3_sn83016081_00332895060_1804061101_0133,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7743220329284668,0.07969256490468979,0.058659546077251434,0.047541577368974686,0.039784278720617294
17_1804-06-11_p3_sn83016081_00332895060_1804061101_0133,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015714649111032486,0.9652382731437683,0.0,0.0,0.0
33_1804-07-30_pNone_sn83016081_00332895060_1804073001_0161,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47464194893836975,0.4519471824169159,0.02975902333855629,0.02374120242893696,0.019910627976059914
19_1804-07-30_pNone_sn83016081_00332895060_1804073001_0161,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1272231489419937,0.7267939448356628,0.05876684933900833,0.04738055542111397,0.03983549401164055
13_1804-07-30_pNone_sn83016081_00332895060_1804073001_0161,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06956847757101059,0.8428468108177185,0.03517809137701988,0.028477182611823082,0.023929426446557045
30_1804-08-06_p3_sn83016081_00332895060_1804080601_0165,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11667737364768982,0.4547315835952759,0.059010908007621765,0.04757528007030487,0.3220048248767853
29_1804-07-30_pNone_sn83016081_00332895060_1804073001_0161,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9384897351264954,0.021471839398145676,0.016232311725616455,0.01293869037181139,0.010867450386285782
11_1804-06-11_p4_sn83016081_00332895060_1804061101_0134,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031655002385377884,0.1604919731616974,0.7839937806129456,0.013001816347241402,0.010857411660254002
1_1804-06-11_p4_sn83016081_00332895060_1804061101_0134,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9772214889526367,0.0
