id,word_count,smallpox_death_cooccurrences,cooccur_topic1_black,cooccur_topic1_cotton,cooccur_topic1_white,cooccur_topic1_received,cooccur_topic1_good,cooccur_topic2_state,cooccur_topic2_house,cooccur_topic2_bill,cooccur_topic2_shall,cooccur_topic2_time,cooccur_topic3_bank,cooccur_topic3_capt,cooccur_topic3_american,cooccur_topic3_wilmington,cooccur_topic3_british,cooccur_topic4_shall,cooccur_topic4_company,cooccur_topic4_article,cooccur_topic4_person,cooccur_topic4_medicine,cooccur_topic5_state,cooccur_topic5_dollar,cooccur_topic5_shall,cooccur_topic5_share,cooccur_topic5_town,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
23_1814-12-26_pNone_sn83016082_00332895084_1814122601_0165,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792474091053009,0.1525789350271225,0.022209960967302322,0.017818178981542587,0.01491883397102356
15_1814-12-26_pNone_sn83016082_00332895084_1814122601_0165,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2530200779438019,0.03338455408811569,0.02527230978012085,0.02030985616147518,0.6680132150650024
67_1814-08-22_p4_sn83016082_00332895084_1814082201_0098,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7763411402702332,0.07721881568431854,0.05919311195611954,0.0474260114133358,0.039820946753025055
3_1814-01-24_p4_sn83016082_00332895084_1814012401_0822,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9776065349578857,0.0,0.0,0.0,0.0
41_1814-08-22_p3_sn83016082_00332895084_1814082201_0097,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3597327768802643,0.6356517672538757,0.0,0.0
24_1814-12-26_pNone_sn83016082_00332895084_1814122601_0167,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3377896547317505,0.03464430198073387,0.02556855045258999,0.0203536543995142,0.5816438794136047
16_1814-03-14_pNone_sn83016082_00332895084_1814031401_0006,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6239011883735657,0.3603481650352478,0.0,0.0,0.0
8_1814-12-26_pNone_sn83016082_00332895084_1814122601_0167,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06240951642394066,0.8747804760932922,0.025392916053533554,0.020335212349891663,0.01708189956843853
10_1814-10-17_p2_sn83016082_00332895084_1814101701_0126,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344669483602047,0.921777069568634,0.017580213025212288,0.014240122400224209,0.011935703456401825
6_1814-01-24_p4_sn83016082_00332895084_1814012401_0822,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8662418723106384,0.0459979884326458,0.03542320430278778,0.028467247262597084,0.023869626224040985
1_1814-10-17_p2_sn83016082_00332895084_1814101701_0126,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01121410634368658,0.7575168609619141,0.13780851662158966,0.08994605392217636,0.0
4_1814-12-26_pNone_sn83016082_00332895084_1814122601_0166,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07915209233760834,0.9135289788246155,0.0,0.0,0.0
7_1814-08-22_p3_sn83016082_00332895084_1814082201_0097,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6637797951698303,0.29233357310295105,0.017675340175628662,0.014261104166507721,0.011950184591114521
17_1814-12-26_pNone_sn83016082_00332895084_1814122601_0167,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9268407225608826,0.0,0.0,0.0670446828007698
11_1814-10-17_p2_sn83016082_00332895084_1814101701_0126,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9473708271980286,0.0,0.0,0.046478427946567535
26_1814-08-22_p4_sn83016082_00332895084_1814082201_0098,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671920895576477,0.01961599849164486,0.2866419851779938,0.011869197711348534,0.0
8_1814-03-14_pNone_sn83016082_00332895084_1814031401_0006,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9814121723175049,0.0,0.0,0.0,0.0
11_1814-10-17_p4_sn83016082_00332895084_1814101701_0128,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6326508522033691,0.011735132895410061,0.0,0.27867022156715393,0.06810224056243896
32_1814-08-22_p4_sn83016082_00332895084_1814082201_0098,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02949039824306965,0.7149366736412048,0.01360373105853796,0.010969515889883041,0.2309996634721756
6_1814-10-17_p4_sn83016082_00332895084_1814101701_0128,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9821237921714783,0.0,0.0
16_1814-08-08_p3_sn83016082_00332895084_1814080801_0089,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9705075621604919,0.010403559543192387,0.0,0.0,0.0
66_1814-10-17_p4_sn83016082_00332895084_1814101701_0128,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8278437256813049,0.06230074167251587,0.04444367438554764,0.0355374850332737,0.029874388128519058
5_1814-07-25_p4_sn83016082_00332895084_1814072501_0082,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9623541235923767,0.013221703469753265,0.0,0.0,0.0
1_1814-08-08_p3_sn83016082_00332895084_1814080801_0089,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014947326853871346,0.0,0.9642511010169983,0.0,0.0
2_1814-12-26_pNone_sn83016082_00332895084_1814122601_0167,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017071502283215523,0.011775379069149494,0.0,0.0,0.9558964371681213
27_1814-07-25_p4_sn83016082_00332895084_1814072501_0082,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9327908754348755,0.02321818843483925,0.01771627739071846,0.014336401596665382,0.01193829346448183
41_1814-08-08_p3_sn83016082_00332895084_1814080801_0089,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04924052208662033,0.033352773636579514,0.8800377249717712,0.02031160704791546,0.01705736294388771
5_1814-10-17_p2_sn83016082_00332895084_1814101701_0126,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3413331210613251,0.6367321014404297,0.0,0.0,0.0
10_1814-08-08_p3_sn83016082_00332895084_1814080801_0089,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2879350483417511,0.42297208309173584,0.0,0.27628350257873535
14_1814-10-17_p4_sn83016082_00332895084_1814101701_0128,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04055505618453026,0.026399889960885048,0.019540943205356598,0.9002296328544617,0.01327453088015318
37_1814-08-29_p4_sn83016082_00332895084_1814082901_0102,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4568193256855011,0.03874354064464569,0.4608096778392792,0.023735767230391502,0.019891653209924698
58_1814-10-17_p4_sn83016082_00332895084_1814101701_0128,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9246346354484558,0.026527466252446175,0.019747238606214523,0.015806620940566063,0.013284054584801197
34_1814-08-22_p4_sn83016082_00332895084_1814082201_0098,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9441189765930176,0.019342657178640366,0.014720166102051735,0.011870025657117367,0.0
16_1814-08-22_p3_sn83016082_00332895084_1814082201_0097,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6739400625228882,0.01957610994577408,0.01470266655087471,0.011886886321008205,0.27989432215690613
4_1814-12-26_pNone_sn83016082_00332895084_1814122601_0167,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14855529367923737,0.31632310152053833,0.5237324237823486,0.0,0.0
13_1814-08-22_p3_sn83016082_00332895084_1814082201_0097,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9250341057777405,0.02625620923936367,0.01963118277490139,0.015804631635546684,0.013273935765028
20_1814-08-22_p3_sn83016082_00332895084_1814082201_0097,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36001256108283997,0.6000710129737854,0.016092222183942795,0.012964434921741486,0.010859704576432705
