id,word_count,smallpox_death_cooccurrences,cooccur_topic1_land,cooccur_topic1_black,cooccur_topic1_silk,cooccur_topic1_cotton,cooccur_topic1_good,cooccur_topic2_good,cooccur_topic2_work,cooccur_topic2_public,cooccur_topic2_john,cooccur_topic2_part,cooccur_topic3_state,cooccur_topic3_committee,cooccur_topic3_house,cooccur_topic3_time,cooccur_topic3_many,cooccur_topic4_county,cooccur_topic4_bank,cooccur_topic4_court,cooccur_topic4_portland,cooccur_topic4_notice,cooccur_topic5_state,cooccur_topic5_last,cooccur_topic5_time,cooccur_topic5_year,cooccur_topic5_house,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
7_1815-04-24_pNone_sn83016082_00332895096_1815042401_0057,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01563609018921852,0.9652683138847351,0.0,0.0,0.0
10_1815-04-24_pNone_sn83016082_00332895096_1815042401_0057,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5409098267555237,0.09607809036970139,0.3553212583065033
21_1815-04-24_p4_sn83016082_00332895096_1815042401_0058,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052102454006671906,0.3922249376773834,0.02529522031545639,0.020374806597828865,0.5100025534629822
2_1815-05-08_p4_sn83016082_00332895096_1815050801_0066,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011859557591378689,0.1273813545703888,0.0,0.8508363962173462,0.0
6_1815-05-08_pNone_sn83016082_00332895096_1815050801_0064,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.705840528011322,0.0,0.27952706813812256
26_1815-05-08_p1_sn83016082_00332895096_1815050801_0063,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3269435167312622,0.43247532844543457,0.21875479817390442,0.011862878687679768,0.0
2_1815-04-24_pNone_sn83016082_00332895096_1815042401_0057,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.40888524055480957,0.0,0.5797884464263916
26_1815-05-08_p3_sn83016082_00332895096_1815050801_0065,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8846400380134583,0.042145539075136185,0.029487622901797295,0.023810788989067078,0.01991601474583149
1_1815-04-24_pNone_sn83016082_00332895096_1815042401_0057,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15761634707450867,0.0,0.6136062741279602,0.0,0.22386349737644196
22_1815-04-24_p4_sn83016082_00332895096_1815042401_0058,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03611462563276291,0.022165803238749504,0.016325080767273903,0.013003971427679062,0.9123905897140503
7_1815-05-08_p1_sn83016082_00332895096_1815050801_0063,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019153045490384102,0.01286771148443222,0.0,0.9515781402587891,0.0
43_1815-05-08_p4_sn83016082_00332895096_1815050801_0066,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07196749001741409,0.8404031991958618,0.0351884588599205,0.028560640290379524,0.023880261927843094
3_1815-05-08_p1_sn83016082_00332895096_1815050801_0063,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3497493863105774,0.30750948190689087,0.33102086186408997,0.0
13_1815-05-08_p4_sn83016082_00332895096_1815050801_0066,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7132309079170227,0.2609490752220154,0.010417452082037926,0.0,0.0
12_1815-05-08_p1_sn83016082_00332895096_1815050801_0063,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.18341735005378723,0.04922233149409294,0.0,0.7638036608695984
28_1815-05-08_p1_sn83016082_00332895096_1815050801_0063,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11098023504018784,0.07771027833223343,0.05857982859015465,0.7129461765289307,0.03978343307971954
