id,word_count,smallpox_death_cooccurrences,cooccur_topic1_black,cooccur_topic1_cotton,cooccur_topic1_white,cooccur_topic1_received,cooccur_topic1_good,cooccur_topic2_state,cooccur_topic2_house,cooccur_topic2_bill,cooccur_topic2_shall,cooccur_topic2_time,cooccur_topic3_bank,cooccur_topic3_capt,cooccur_topic3_american,cooccur_topic3_wilmington,cooccur_topic3_british,cooccur_topic4_shall,cooccur_topic4_company,cooccur_topic4_article,cooccur_topic4_person,cooccur_topic4_medicine,cooccur_topic5_state,cooccur_topic5_dollar,cooccur_topic5_shall,cooccur_topic5_share,cooccur_topic5_town,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1_1813-04-05_pNone_sn83016082_00332895084_1813040501_0675,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07770753651857376,0.4987735450267792,0.3031970262527466,0.0,0.11459381878376007
7_1813-12-20_p4_sn83016082_00332895084_1813122001_0814,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431304395198822,0.0,0.29277148842811584,0.27111485600471497,0.0
25_1813-12-13_p3_sn83016082_00332895084_1813121301_0809,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9041239619255066,0.033334068953990936,0.02513366937637329,0.020357679575681686,0.017050622031092644
29_1813-11-22_p3_sn83016082_00332895084_1813112201_0797,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.768038272857666,0.22469069063663483,0.0,0.0
41_1813-12-27_pNone_sn83016082_00332895084_1813122701_0815,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048801783472299576,0.034775473177433014,0.025256013497710228,0.02030768059194088,0.8708590269088745
11_1813-11-22_p3_sn83016082_00332895084_1813112201_0797,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9567625522613525,0.015837518498301506,0.011019147001206875,0.0,0.0
2_1813-11-22_p3_sn83016082_00332895084_1813112201_0797,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6137331128120422,0.021072417497634888,0.3413947522640228,0.0129489591345191,0.010850767605006695
18_1813-12-13_p3_sn83016082_00332895084_1813121301_0809,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.95098477602005,0.042023804038763046,0.0,0.0
11_1813-12-20_p4_sn83016082_00332895084_1813122001_0814,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8833773732185364,0.0,0.0,0.10519901663064957,0.0
22_1813-06-14_p3_sn83016082_00332895084_1813061401_0705,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25081682205200195,0.3777068257331848,0.21229708194732666,0.0,0.15719735622406006
3_1813-11-22_p2_sn83016082_00332895084_1813112201_0796,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9145923852920532,0.030157247558236122,0.022485023364424706,0.01783432438969612,0.014931033365428448
27_1813-11-22_p3_sn83016082_00332895084_1813112201_0797,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173257514834404,0.7575775980949402,0.066782645881176,0.0,0.0
13_1813-12-27_pNone_sn83016082_00332895084_1813122701_0815,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866619274020195,0.04800690710544586,0.8129950165748596,0.028454530984163284,0.02388164773583412
23_1813-12-06_p2_sn83016082_00332895084_1813120601_0804,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08465701341629028,0.05977388471364975,0.7901864051818848,0.03553568571805954,0.029847050085663795
24_1813-06-21_p4_sn83016082_00332895084_1813062101_0710,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049391575157642365,0.029029270634055138,0.022007016465067863,0.884638786315918,0.014933351427316666
5_1813-12-06_p2_sn83016082_00332895084_1813120601_0804,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9656845331192017,0.01221524365246296,0.0,0.0,0.0
18_1813-12-27_pNone_sn83016082_00332895084_1813122701_0815,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013248798437416553,0.9721325635910034,0.0,0.0,0.0
20_1813-12-20_p4_sn83016082_00332895084_1813122001_0814,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9157266020774841,0.029139362275600433,0.022383255884051323,0.017810611054301262,0.01494018454104662
7_1813-06-21_p4_sn83016082_00332895084_1813062101_0710,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4654080271720886,0.5136029124259949,0.0,0.0,0.0
6_1813-11-29_p1_sn83016082_00332895084_1813112901_0799,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9936405420303345,0.0,0.0,0.0
12_1813-04-05_pNone_sn83016082_00332895084_1813040501_0675,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010730150155723095,0.9779719710350037,0.0,0.0,0.0
33_1813-12-20_p4_sn83016082_00332895084_1813122001_0814,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969287633895874,0.010732724331319332,0.0,0.0,0.0
16_1813-06-14_p3_sn83016082_00332895084_1813061401_0705,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26435181498527527,0.6957206726074219,0.016122082248330116,0.012939414009451866,0.010866041295230389
8_1813-04-05_pNone_sn83016082_00332895084_1813040501_0675,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5760535597801208,0.0,0.0,0.2574579119682312,0.1515636146068573
