id,word_count,smallpox_death_cooccurrences,cooccur_topic1_power,cooccur_topic1_time,cooccur_topic1_state,cooccur_topic1_public,cooccur_topic1_government,cooccur_topic2_black,cooccur_topic2_portland,cooccur_topic2_white,cooccur_topic2_good,cooccur_topic2_john,cooccur_topic3_bill,cooccur_topic3_bank,cooccur_topic3_dollar,cooccur_topic3_name,cooccur_topic3_read,cooccur_topic4_aged,cooccur_topic4_land,cooccur_topic4_town,cooccur_topic4_acre,cooccur_topic4_half,cooccur_topic5_county,cooccur_topic5_town,cooccur_topic5_name,cooccur_topic5_incorporate,cooccur_topic5_portland,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
7_1803-01-03_p2_sn83016072_00332895060_1803010301_0127,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5484921336174011,0.44417592883110046,0.0,0.0,0.0
40_1803-06-27_p3_sn83016072_00332895060_1803062701_0230,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46241840720176697,0.013353017158806324,0.0,0.0,0.5065078139305115
11_1803-07-04_p3_sn83016072_00332895060_1803070401_0234,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5619599223136902,0.25537654757499695,0.019603606313467026,0.14979048073291779,0.01326941978186369
29_1803-01-10_p3_sn83016072_00332895060_1803011001_0132,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3850172460079193,0.0,0.0,0.0,0.6037404537200928
39_1803-06-06_p3_sn83016072_00332895060_1803060601_0218,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803913950920105,0.08729995787143707,0.09738139063119888,0.0,0.0
4_1803-06-06_p1_sn83016072_00332895060_1803060601_0216,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9280517101287842,0.06438133865594864,0.0,0.0,0.0
1_1803-06-27_p3_sn83016072_00332895060_1803062701_0230,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608919620513916,0.011085825972259045,0.0,0.0,0.36606624722480774
21_1803-06-27_p3_sn83016072_00332895060_1803062701_0230,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4605657756328583,0.03485675901174545,0.02544109709560871,0.020396990701556206,0.45873937010765076
4_1803-07-25_p2_sn83021505_00332895060_1803072501_0245,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01796804368495941,0.9637539386749268,0.0,0.0,0.0
47_1803-07-11_pNone_sn83021505_00332895060_1803071101_0239,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33283761143684387,0.22998513281345367,0.17569300532341003,0.14213863015174866,0.11934563517570496
37_1803-06-20_p3_sn83016072_00332895060_1803062001_0226,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7349062561988831,0.01343707274645567,0.0,0.0,0.23396246135234833
44_1803-06-27_p3_sn83016072_00332895060_1803062701_0230,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9663910865783691,0.011624899692833424,0.0,0.0,0.0
26_1803-05-30_p3_sn83016072_00332895060_1803053001_0214,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7584748268127441,0.0,0.0,0.0,0.23287121951580048
24_1803-01-03_p3_sn83016072_00332895060_1803010301_0128,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9229334592819214,0.027904652059078217,0.020070383325219154,0.015812374651432037,0.01327909342944622
12_1803-06-27_p3_sn83016072_00332895060_1803062701_0230,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166420117020607,0.6149895191192627,0.08784719556570053,0.0710698738694191,0.05967329069972038
3_1803-06-06_p1_sn83016072_00332895060_1803060601_0216,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7419313788414001,0.2503504753112793,0.0,0.0,0.0
5_1803-06-20_p4_sn83016072_00332895060_1803062001_0227,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020039796829223633,0.9580211639404297,0.0,0.0,0.0
3_1803-06-13_p2_sn83016072_00332895060_1803061301_0221,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9386310577392578,0.02149844914674759,0.016069620847702026,0.012944805435836315,0.010856068693101406
6_1803-01-10_p3_sn83016072_00332895060_1803011001_0132,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6427714228630066,0.012681816704571247,0.33072784543037415,0.0,0.0
4_1803-06-06_p2_sn83016072_00332895060_1803060601_0217,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020610306411981583,0.9585419297218323,0.0,0.0,0.0
38_1803-06-27_p3_sn83016072_00332895060_1803062701_0230,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11023220419883728,0.0,0.0,0.0,0.8685237169265747
24_1803-06-27_p2_sn83016072_00332895060_1803062701_0229,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09647329896688461,0.7936558127403259,0.044209882616996765,0.035808246582746506,0.02985280193388462
19_1803-06-20_p4_sn83016072_00332895060_1803062001_0227,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04134749248623848,0.026861965656280518,0.019718294963240623,0.2586681544780731,0.6534041166305542
