id,word_count,smallpox_death_cooccurrences,cooccur_topic1_power,cooccur_topic1_time,cooccur_topic1_state,cooccur_topic1_public,cooccur_topic1_government,cooccur_topic2_black,cooccur_topic2_portland,cooccur_topic2_white,cooccur_topic2_good,cooccur_topic2_john,cooccur_topic3_bill,cooccur_topic3_bank,cooccur_topic3_dollar,cooccur_topic3_name,cooccur_topic3_read,cooccur_topic4_aged,cooccur_topic4_land,cooccur_topic4_town,cooccur_topic4_acre,cooccur_topic4_half,cooccur_topic5_county,cooccur_topic5_town,cooccur_topic5_name,cooccur_topic5_incorporate,cooccur_topic5_portland,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
23_1801-03-02_pNone_sn83016063_00332895059_1801030201_0553,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025115342810750008,0.016164906322956085,0.07986600697040558,0.0,0.8693279027938843
48_1801-08-24_p3_sn83016063_00332895059_1801082401_0656,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7638688683509827,0.03373892605304718,0.0252485740929842,0.16007599234580994,0.017067616805434227
24_1801-08-24_p4_sn83016063_00332895059_1801082401_0657,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22566570341587067,0.010616065934300423,0.0,0.0,0.7491876482963562
2_1801-03-09_pNone_sn83016063_00332895059_1801030901_0557,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9796578884124756,0.0
1_1801-08-24_p3_sn83016063_00332895059_1801082401_0656,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9784221649169922
1_1801-03-02_pNone_sn83016063_00332895059_1801030201_0553,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986911952495575,0.0,0.0,0.0,0.0
22_1801-03-02_pNone_sn83016063_00332895059_1801030201_0553,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058058977127075195,0.8684358596801758,0.029684681445360184,0.023872947320342064,0.019947541877627373
8_1801-02-16_p2_sn83016063_00332895059_1801021601_0544,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49005818367004395,0.04675569012761116,0.2652595341205597,0.0,0.19644063711166382
14_1801-08-24_p3_sn83016063_00332895059_1801082401_0656,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11856842786073685,0.7352743148803711,0.05891997367143631,0.04741927981376648,0.03981798142194748
