id,word_count,smallpox_death_cooccurrences,cooccur_topic1_land,cooccur_topic1_black,cooccur_topic1_silk,cooccur_topic1_cotton,cooccur_topic1_good,cooccur_topic2_good,cooccur_topic2_work,cooccur_topic2_public,cooccur_topic2_john,cooccur_topic2_part,cooccur_topic3_state,cooccur_topic3_committee,cooccur_topic3_house,cooccur_topic3_time,cooccur_topic3_many,cooccur_topic4_county,cooccur_topic4_bank,cooccur_topic4_court,cooccur_topic4_portland,cooccur_topic4_notice,cooccur_topic5_state,cooccur_topic5_last,cooccur_topic5_time,cooccur_topic5_year,cooccur_topic5_house,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
46_1818-07-14_p3_sn83016083_00332895096_1818071401_0704,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037730369716882706,0.9223339557647705,0.016123294830322266,0.012941050343215466,0.010871261358261108
1_1818-01-20_p2_sn83016082_00332895096_1818012001_0603,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08491984754800797,0.20966194570064545,0.5952488780021667,0.10643320530653,0.0
23_1818-08-11_p1_sn83016083_00332895096_1818081101_0718,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9851828813552856,0.0,0.0,0.0,0.0
7_1818-12-22_p4_sn83016083_00332895096_1818122201_0799,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01341574639081955,0.0,0.0,0.9655209183692932,0.0
6_1818-01-13_p2_sn83016082_00332895096_1818011301_0599,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14347293972969055,0.010686980560421944,0.5798627138137817,0.0,0.25925901532173157
29_1818-07-14_p3_sn83016083_00332895096_1818071401_0704,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710626021027565,0.04889428988099098,0.03514080494642258,0.028429903090000153,0.8164723515510559
11_1818-07-28_p3_sn83016083_00332895096_1818072801_0712,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9514123797416687,0.0,0.0,0.04414208605885506,0.0
2_1818-08-04_p4_sn83016083_00332895096_1818080401_0717,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1945725977420807,0.7475450038909912,0.0,0.047570034861564636,0.0
1_1818-01-13_p2_sn83016082_00332895096_1818011301_0599,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.15477223694324493,0.8308433890342712
2_1818-06-30_p2_sn83016083_00332895096_1818063001_0695,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061482008546590805,0.08074584603309631,0.6486787796020508,0.0,0.20695288479328156
4_1818-08-04_p4_sn83016083_00332895096_1818080401_0717,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7472320795059204,0.01010059006512165,0.0,0.23078002035617828,0.0
17_1818-01-27_p3_sn83016082_00332895096_1818012701_0608,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023857465013861656,0.9485564231872559,0.011211088858544827,0.0,0.0
22_1818-06-30_p4_sn83016083_00332895096_1818063001_0697,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019401326775550842,0.7599086165428162,0.0,0.20509730279445648,0.0
23_1818-01-13_p4_sn83016082_00332895096_1818011301_0601,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047924019396305084,0.0330984964966774,0.025651298463344574,0.876261830329895,0.017064381390810013
20_1818-12-29_p4_sn83016083_00332895096_1818122901_0803,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018866894766688347,0.012852980755269527,0.0,0.9518781304359436,0.0
12_1818-07-21_p3_sn83016083_00332895096_1818072101_0708,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9662152528762817,0.026717614382505417,0.0,0.0,0.0
10_1818-08-04_p3_sn83016083_00332895096_1818080401_0716,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3331679701805115,0.652554452419281
12_1818-07-28_p1_sn83016083_00332895096_1818072801_0710,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034780681133270264,0.023078402504324913,0.01769348233938217,0.014240724965929985,0.91020667552948
2_1818-12-29_p2_sn83016083_00332895096_1818122901_0801,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9875133633613586,0.0,0.0
7_1818-06-30_p3_sn83016083_00332895096_1818063001_0696,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9770209193229675,0.0
7_1818-01-06_p3_sn83016082_00332895096_1818010601_0596,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9802826046943665
8_1818-06-30_p2_sn83016083_00332895096_1818063001_0695,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025161223486065865,0.5203343033790588,0.012676935642957687,0.43329671025276184,0.0
22_1818-12-22_p1_sn83016083_00332895096_1818122201_0796,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21689638495445251,0.051080893725156784,0.3411051034927368,0.10274187475442886,0.28817570209503174
32_1818-01-27_p1_sn83016082_00332895096_1818012701_0606,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060838498175144196,0.8843244314193726,0.022125713527202606,0.017787326127290726,0.014924034476280212
13_1818-08-11_p1_sn83016083_00332895096_1818081101_0718,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234645027667284,0.9490401744842529,0.01113787293434143,0.0,0.0
16_1818-01-27_p4_sn83016082_00332895096_1818012701_0609,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4158921241760254,0.5621023178100586,0.0,0.0,0.0
1_1818-12-29_p1_sn83016083_00332895096_1818122901_0800,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9899659156799316,0.0,0.0,0.0,0.0
9_1818-12-29_p1_sn83016083_00332895096_1818122901_0800,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9645052552223206,0.012385954149067402,0.0,0.0,0.0
20_1818-08-11_p3_sn83016083_00332895096_1818081101_0720,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19023644924163818,0.2544310688972473,0.0,0.5465856194496155,0.0
29_1818-02-03_p1_sn83016082_00332895096_1818020301_0610,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7491216659545898,0.020630480721592903,0.014717132784426212,0.01186452154070139,0.20366622507572174
22_1818-06-30_p3_sn83016083_00332895096_1818063001_0696,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9890987277030945
31_1818-08-04_p1_sn83016083_00332895096_1818080401_0714,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5311293601989746,0.017751451581716537,0.01272705476731062,0.010196859948337078,0.4281952679157257
2_1818-07-21_p1_sn83016083_00332895096_1818072101_0706,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030971037223935127,0.0,0.11841224133968353,0.32362303137779236,0.5221883058547974
13_1818-06-30_p3_sn83016083_00332895096_1818063001_0696,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024929599836468697,0.1372319906949997,0.012646601535379887,0.8166636228561401,0.0
5_1818-01-27_p2_sn83016082_00332895096_1818012701_0607,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16503342986106873,0.013596637174487114,0.010580817237496376,0.8037633299827576,0.0
11_1818-01-27_p3_sn83016082_00332895096_1818012701_0608,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.46209001541137695,0.18595600128173828,0.0,0.3485824167728424
19_1818-08-04_p2_sn83016083_00332895096_1818080401_0715,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07622899115085602,0.10178349167108536,0.6510372757911682,0.0,0.16961374878883362
51_1818-12-29_p3_sn83016083_00332895096_1818122901_0802,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33283761143684387,0.22998513281345367,0.17569300532341003,0.14213863015174866,0.11934563517570496
70_1818-12-29_p4_sn83016083_00332895096_1818122901_0803,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12773750722408295,0.7619128227233887,0.04449474439024925,0.03592478856444359,0.02993011102080345
12_1818-01-13_p4_sn83016082_00332895096_1818011301_0601,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7281453013420105,0.18782362341880798,0.0,0.07112562656402588,0.0
